track_id,track_name,track_popularity,explicit,artist_name,album_name,release_date,user_id
4KfkWBI5MMc7hlUW3K7VY9,Breaking Waves Like a Stone,17,False,Loma,Don't Shy Away,2020-10-23,179d97494603457f
57KfogSy3eKuk5JHLKwCJv,Song Sung Blue,59,False,Neil Diamond,All-Time Greatest Hits,2014-07-08,179d97494603457f
1BmVQ5RGqqtF5cnsv6cQYu,"Girl, You'll Be A Woman Soon",61,False,Neil Diamond,The Bang Years 1966-1968 (The 23 Original Mono Recordings),1968,179d97494603457f
4t1nZY1vK0ydOCFmmgEir5,Lavu,0,False,Makadem,Unplugged,2024-02-23,179d97494603457f
2g9HAIMvA65wnmB5oPj8kT,Lights Out,6,False,Scuba,Triangulation,2010-03-22,179d97494603457f
7A2yhrdnFspRjpX8RC8UW1,Otis - 2024 Remaster,49,False,The Durutti Column,Vini Reilly,1989-01-01,179d97494603457f
0JmsrTAdUiGTBLhkN6FkDH,"Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",0,False,Edward Elgar,Elgar: Cello Concerto; Enigma Variations; Froissart,1993,179d97494603457f
41sfxCghJlbnWnql4QEfl7,La Piragua,44,False,Umoja,Vuelo Nocturno,2013-08-22,179d97494603457f
24aHrSsj9oR5MdDBUlXynM,"Cherry, Cherry",53,False,Neil Diamond,The Feel Of Neil Diamond,1966-08-12,179d97494603457f
1Ccfb1xzwLDjQHLfAa2TxQ,Strange Powers,49,False,The Magnetic Fields,Holiday,1999-01-12,179d97494603457f
2yUhgU81XgK7jopXIk24Em,"Cello Concerto in E Minor, Op. 85: III. Adagio",0,False,Edward Elgar,Elgar: Cello Concerto; Enigma Variations; Froissart,1993,179d97494603457f
01V140OqH7gLVyjdOpTb95,UFO2,0,False,Shed,Applications,2024-11-11,179d97494603457f
2b10wJYiF8H3ZNXUBKpGAj,-----,3,False,Roza Roza,Sadok Sudei,2017-04-07,179d97494603457f
2OPnp4RzERrlfJpmAFDR7Z,Peanut Brittle Brigade (March),18,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
31TR8MbaYZ2COZxcYKym9b,Dance of the Floreadores (Waltz of the Flowers),16,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
3pZvvT5nZbg3pjxKfDAv50,Overture,27,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
4Af3a5GQkggFmsjylz5Psn,Juanita,7,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
1zbTFq7ymGo9Z8ldB24lvf,You Lust,4,False,The Flaming Lips,The Terror,2013-03-29,179d97494603457f
2a4BKlwt2Wk7NGPWqRFgAs,Mahalia,8,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
4N5hYVvwSBXowJ6zYB63xX,Sugar Rum Cherry (Dance of the Sugar-Plum Fairy),24,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
50Rov0X8RQDuwqgc9fOqF6,The Merciful Lake,18,False,Holy Tongue,The Tumbling Psychic Joy of Now,2024-08-23,179d97494603457f
3DbbjlqUeX4N8jymM7VcA1,Peg O' My Heart,7,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
5a0nDWlooW1BKOtc3beONv,Stoplight Kisses,35,False,The Cactus Blossoms,You're Dreaming,2016-01-22,179d97494603457f
3mE709unMDogn4hC56XQcJ,Sweet Adeline,8,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
5j5AfdELa9dsBkNKVz61k2,The Volga Vouty (Russian Dance),14,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
7m9S3Smuhc0AlDqZoIR0MX,Clementine,6,False,Duke Ellington,The Nutcracker Suite (Expanded Edition),1960-09-19,179d97494603457f
0fYXEHGIJqfimplx8Y4683,Dat Dere - Remastered 2005,42,False,Art Blakey & The Jazz Messengers,The Big Beat (The Rudy Van Gelder Edition),2005-01-01,179d97494603457f
33iMJKVzhZQTieO3HrSdKr,Crayfish Caper,32,False,Surprise Chef,All News Is Good News,2020-07-10,179d97494603457f
7w5AOd6HrDIHewHfpABEss,Wicked Game,83,False,Chris Isaak,Heart Shaped World,1989-06-13,179d97494603457f
6p8E52iwCSmgCVsuQNizsM,Root Collars,1,False,FIS,From Patterns to Details,2016-09-23,179d97494603457f
6g9ItEHIAXnEDVdXd8nwEg,Going Home,35,False,Alice Coltrane,Lord Of Lords,1972-01-01,179d97494603457f
06PpkLUklPAAMzywkBr3TM,Yung Boi Suite,36,False,Surprise Chef,All News Is Good News,2020-07-10,179d97494603457f
1OBUNNWfoZVBLmZxVuhfgy,Heart Wash,0,False,FIS,From Patterns to Details,2016-09-23,179d97494603457f
1WxMZMZtW19ihGdfdE9YX5,Blyth Street Nocturne,42,False,Surprise Chef,All News Is Good News,2020-07-10,179d97494603457f
2bcvooA6HEmVUneEGJnNZD,Everybody Here Wants You,77,False,Jeff Buckley,Sketches for My Sweetheart The Drunk (Expanded Edition),1998-05-26,179d97494603457f
63Ko3TB1r09NYmWr8T3VH9,The Chess Players - Remastered 2005,25,False,Art Blakey & The Jazz Messengers,The Big Beat (The Rudy Van Gelder Edition),2005-01-01,179d97494603457f
7KL9M1iIzHnKBK24pkyTNE,Moanin' (Alternate Take),29,False,Art Blakey & The Jazz Messengers,Moanin' (Expanded Edition),1959-01-01,179d97494603457f
5CTZ1YCpitU0mPYNrJxjcX,Samatha - Special Edition,32,False,Matthew Halsall,On The Go (Special Edition),2011-04-18,179d97494603457f
0p5GcSlKXIoXUADIxUjy2V,Tetra-Sync - Remastered,16,False,Squarepusher,Ultravisitor (Remastered),2004-03-08,179d97494603457f
1pMWbHe7Pw44ZKB4j1OiDT,The Shining,42,False,Badly Drawn Boy,The Hour of Bewilderbeast,1999-09-06,179d97494603457f
0uqywpeHthwmYJb8VQvDU2,No U.F.Os (inst.),9,False,Model 500,Submerge Vol.1:Detroit Techno,2008-07-29,179d97494603457f
59nZPHlHr8hxnkd1yDEEW0,Phosphene - The Exaltics Remix,1,False,Drax,Phosphene,2014-10-20,179d97494603457f
5Jp4vRhQ4TLXrp9cnJfXu6,Hot Wheels Let's Race Theme Song,59,False,Hot Wheels,Hot Wheels Let's Race Theme Song,2024-03-04,179d97494603457f
1Bcp0BwpHaGjVXUAo47rRF,Camping Next to Water,28,False,Badly Drawn Boy,The Hour of Bewilderbeast,1999-09-06,179d97494603457f
6mhw2fEPH4fMF0wolNm96e,Macarena,67,False,Los Del Rio,Hits Of The 90s,2002-05-20,179d97494603457f
7gkKr0pHA8N6brI5NAj3rw,Baghdad Express,6,False,Underground Resistance,Electronic Warfare 2.0,2008-01-01,179d97494603457f
58PSYdY0GFg0LFb2PxYk4T,Mannish Boy,63,False,Muddy Waters,King Of The Electric Blues,1977,179d97494603457f
5fYJ9MHEcYeQ4QibNASmmz,"The Blue Danube Waltz, Op. 314",44,False,Johann Strauss II,Johann Strauss: Waltzes and Arias,2016-11-11,179d97494603457f
4VORfYzfCtccllDpHjIodE,Tazumal,4,False,Underground Resistance,Electronic Warfare 2.0,2008-01-01,179d97494603457f
2Cdr8ZGc9vhBAZvsmftjZK,Charlie Hotel 155,3,False,Underground Resistance,Electronic Warfare 2.0,2008-01-01,179d97494603457f
4lwV7SpU0JSM1OIm0aIkNP,"Batman Theme - from ""Batman"" A Greenway Production in association with Twentieth Century-Fox Television",51,False,Neal Hefti & his Orchestra and Chorus,Batman Theme & Other Bat Songs (Expanded Edition),1997-12-11,179d97494603457f
