album_id,album_name,artist_name,release_date,album_artwork
0R8Pl54TXSwXWtAEVaP7ew,A New Flame (Expanded Version),Simply Red,1989-01-01,https://i.scdn.co/image/ab67616d0000b2738f8dc242b396ddc31c01d36c
2cUNjYzEhwwmjtmHsDM54t,Men and Women (Expanded Version),Simply Red,1987-01-01,https://i.scdn.co/image/ab67616d0000b273b985f91136c4e8e5f3529938
0L1apAXxXqnl3vMpJMVO2b,Speedy Wunderground - Year 4,Various Artists,,https://i.scdn.co/image/ab67616d0000b273d32ed49b550cc4a3d89679d5
0PF97T9K2E95PV4AbICNjr,Hyaena (Remastered And Expanded),Siouxsie and the Banshees,,https://i.scdn.co/image/ab67616d0000b27398a9b4da7c5cdf6210c36258
6NlhdusTOZaLLDOBphgkNF,Focus On: Boysnoize Records,Various Artists,,https://i.scdn.co/image/ab67616d0000b273cba29cc530f0027e5a584f03
5sSQwZJt5XWyuKKNPIx8jj,Classic Sounds of New Orleans from Smithsonian Folkways,Various Artists,,https://i.scdn.co/image/ab67616d0000b273e6d7235deae9cbe2fb1a6106
0d2kYndpc9gJafJgyEVwYk,Gospel Train (Expanded Edition),Sister Rosetta Tharpe,,https://i.scdn.co/image/ab67616d0000b273335f00b1e40586a31fb24d33
4GSidaoqyGNwaG5mNKmuLT,We Are Family (1995 Remaster),Sister Sledge,1995-01-01,https://i.scdn.co/image/ab67616d0000b273f66d92378b233aa8253e71d2
30NMiy6rqW2CTUbhoTfBDH,Modeselektion Vol. 04,Modeselektor,,https://i.scdn.co/image/ab67616d0000b273f91ed9b55accfb30aa77887a
3h5a97Q165hNExBkutPTTp,Grime 2016,Various Artists,,https://i.scdn.co/image/ab67616d0000b27325d3f3a1e5f31e3a486b0131
1Dgwpc60kecGneKGqOHH2h,"Brownswood Bubblers Twelve, Pt. 2 (Gilles Peterson Presents)",Various Artists,,https://i.scdn.co/image/ab67616d0000b273e5d536e6407490e175eb883b
1nWIYpBIbSn759fhDYPvrx,Skream! (Expanded Edition),Skream,,https://i.scdn.co/image/ab67616d0000b2730a838d7838c01b5e59588d18
6HbNEBza64W10MQxUFq6QL,Scary Monsters and Nice Sprites (Deluxe Tour Edition),Skrillex,,https://i.scdn.co/image/ab67616d0000b2730d9a6a2a68b4010c5b21a38c
0oqVxcxkJVkTMoxBOaC7KS,Portals Summer II,Various Artists,,https://i.scdn.co/image/ab67616d0000b2732cd8e41f305319b307076a90
0WVfeoUiTa1UN2klPSp6vw,Herdersmat Part 1-7,Various Artists,,https://i.scdn.co/image/ab67616d0000b273f53843ff0523cd7826934b5d
7Kr6XmSl6MjFd83PJsVRYN,No Photos On The Dancefloor,Various Artists,,https://i.scdn.co/image/ab67616d0000b273c6404ca626e23700f491a249
4ZDBQSIDIZRUBOG2OHcN3T,Vol. 3: The Subliminal Verses (Special Edition),Slipknot,2004-01-01,https://i.scdn.co/image/ab67616d0000b2736b3463e7160d333ada4b175a
5Zs0mNCTs73CqPKbZPWFX9,Iowa (10th Anniversary Edition),Slipknot,2001-01-01,https://i.scdn.co/image/ab67616d0000b273a62eefef8ee83d5e09aa8331
0knBBVDDgpO6dWWvrb6bpd,Most Wanted,Ranking Dread,,https://i.scdn.co/image/ab67616d0000b273304b07f7352b3fb666ef9698
7hdJnEvvIJsydJCFF81SCs,Another Psyde Of The Moon,Various Artists,,https://i.scdn.co/image/ab67616d0000b27353a8b334fd8c646f0e8a8cb3
13IR53eb8vXSo1CWh50Xve,"Ice Cream Records Presents R.i.P Productions: The Players, Future and Past",R.I.P Productions,,https://i.scdn.co/image/ab67616d0000b273de75442c448d7dada051b6b9
15CGO9aEr69vJgxaiNU56Z,There Are But Four Small Faces (Expanded),Small Faces,,https://i.scdn.co/image/ab67616d0000b273212985bb314c5364ff1e8af2
1ZWPlqXXwBr6FWMqVtKixk,Ogdens' Nut Gone Flake (50th Anniversary Edition),Small Faces,,https://i.scdn.co/image/ab67616d0000b2730e7a68dae8aaa105df5a1f66
