album_id,album_name,artist_name,release_date,album_artwork
0ph4tDLwBtv0KxWMPJDbol,Ekual,Yumi Ito,2021-10-28,https://i.scdn.co/image/ab67616d0000b27307cc0c25124e63ce1b6e62ce
3wTjYmQ9nZxpkEv0oGz7hj,Minha Flor,Yumi Ito,2021-08-26,https://i.scdn.co/image/ab67616d0000b273867ccf7887e867ca64bbe4b9
51wuR1THuIkmMQONEN7ztk,Resonance,Yumiko Morioka,2020-04-15,https://i.scdn.co/image/ab67616d0000b2732a08c071828e6972cba34a24
7HQJSsi4cftyjqSlc0hL36,Peach Orchard Path,Yuna,2025-04-10,https://i.scdn.co/image/ab67616d0000b2733d89887eac2275ffa053eee1
3tXVxjXrXJMTBXorraiZHQ,"L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)",Yung Bae,2022-03-02,https://i.scdn.co/image/ab67616d0000b27310a333a60b9b2e09dc9665c4
71zTvjTLSXaNb97Xitozwg,El Plugg 2,Yung Beef,2021-04-15,https://i.scdn.co/image/ab67616d0000b2738a359d7795d4db733e9af271
76QjUiPeuWzLuH0laeLkKf,Cities II,Thibault Cauvin,2018-09-07,https://i.scdn.co/image/ab67616d0000b2734b0212d8d166dc3af2f8ac96
3FMzxDxBTIi2HsmaTNKhV0,After All,Yuri Honing Acoustic Quartet,2017-12-15,https://i.scdn.co/image/ab67616d0000b273461df9176cfef57f0e4ff150
7bcJhX13orgLxahPE038Gi,Bluebeard,Yuri Honing Acoustic Quartet,2020-03-06,https://i.scdn.co/image/ab67616d0000b273d7ba108ddc2bad7add47d4de
7Dd9kbH46vk4fIA9esp3rf,Eastern Sounds (Remastered 2023),Yusef Lateef,2024-02-02,https://i.scdn.co/image/ab67616d0000b273ff4a38917d1eb6c85752e9ff
74Nj0ARuGbLOYc3hZt951w,Suite 16,Yusef Lateef,,https://i.scdn.co/image/ab67616d0000b273fd39106cc4e9f2218c60e03b
2o2tNVIRBR0BH4RlLm4qLO,Welcome to the Hills,Yussef Dayes,2020-12-03,https://i.scdn.co/image/ab67616d0000b273c7d3d5d5f1b6e53eb856d93e
4f7khEdY7fk6VqkaiqaaHb,Mona Bone Jakon,Yusuf / Cat Stevens,1970-06-26,https://i.scdn.co/image/ab67616d0000b2731e4af68baefd93cd8a8735ec
1jooROM5diSNAfEwESyDDH,All Cylinders,Yves Jarvis,2025-02-28,https://i.scdn.co/image/ab67616d0000b27305f44ff7f65a665afc847963
5KQM6djuZsifJQZY01mtY9,10 chansons pour l'été,Yves Montand,2011-02-14,https://i.scdn.co/image/ab67616d0000b27364fc3c96a09a99b04a3525b1
1WowOfXnw3DlwgjyzlAU4Q,We Got That Cool (feat. Afrojack & Icona Pop),Yves V,2019-06-28,https://i.scdn.co/image/ab67616d0000b273261381ee47543f6faddb10bf
1mO8zgdPfW21kibA8aaUo0,Diamonds,Yxng Bane,2017-07-21,https://i.scdn.co/image/ab67616d0000b273793af2e88c6e0a7657295e95
3AdB5m4u2kd1q8nkDb5Nl9,Should've Known Better,Yxng Bane,2016-06-09,https://i.scdn.co/image/ab67616d0000b27339ddba9fcc48b957fce623a9
2yuQqhSklmfWgn8lmJNk5t,Nobody Is Listening,ZAYN,2021-01-15,https://i.scdn.co/image/ab67616d0000b273f160ff1c91caffd9e24cc736
4orn4y9tLpEC0I3Mk5Y11K,Tejas,ZZ Top,1976-11-29,https://i.scdn.co/image/ab67616d0000b273244249873dc5b07420a8bc61
5LMGAYhn2ywaxGZdtmXGpw,Eliminator,ZZ Top,1983-03-23,https://i.scdn.co/image/ab67616d0000b27328a00032ff3b86af3d7e0e54
0Im5nUhAuNDSYVjfPh7RyS,The Foundation,Zac Brown Band,2008-11-17,https://i.scdn.co/image/ab67616d0000b2733f6f4ab78c05dfdfcc37a205
04Xde0FJSo4LVQ1GE36t49,High School Musical 2 (Original Soundtrack),High School Musical Cast,2007-01-01,https://i.scdn.co/image/ab67616d0000b273342a94d40e41ecd14874be4c
4g4WF3z8fvHAYfaPMLD86b,High School Musical 2 Original Soundtrack,Various Artists,2007-01-01,https://i.scdn.co/image/ab67616d0000b2734b3380d578ac4dfbfea7a3c2
5aeZJVEbJ8vpSv17brEa1n,Just for the Night (Jean Tonique Remix),Zac Tenenbaum,2021-05-07,https://i.scdn.co/image/ab67616d0000b273b19b212cd419978d017bb015
6PbnGueEO6LGodPfvNldYf,Zach Bryan,Zach Bryan,2023-08-25,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
7LRZfujsTLyy814AnMSdtT,Pink Skies,Zach Bryan,2024-05-24,https://i.scdn.co/image/ab67616d0000b2731a2c9ac2d39bc5c2e22b9555
3Ca58JR3vDDMl5i8QKkWzP,Heading South,Zach Bryan,2019-09-30,https://i.scdn.co/image/ab67616d0000b273f9017bcd001d030d46850226
4pxNP2Kt1QQmifqUNrhC68,PH,ZackGrooves,2020-10-13,https://i.scdn.co/image/ab67616d0000b273c7af9074a7422f77643a0415
1Lh2EnOd11OTV64zqIUAlq,Battery Park,Zacky Yazz,2023-04-14,https://i.scdn.co/image/ab67616d0000b273df8b5288b520e71f73723fdb
5W6X5UAM1VJ9SIF96tB0Wb,Everyone Has Dreams,Zairis Téjion,2022-01-26,https://i.scdn.co/image/ab67616d0000b273420d6212a94ac3ce73cba9d3
5IE6XAak08bmVqFiDfTXIF,After I Found Peace,Zairis Téjion,2022-04-01,https://i.scdn.co/image/ab67616d0000b273ebb0af88c676371f839c39e8
3VxtokLaFZNDwce4YijTmE,Misty,Zander Jazz Trio,2020-08-03,https://i.scdn.co/image/ab67616d0000b273da7a72e1ed95cef12d8ccb6e
3C9IDn2KBTZKRQ3Ldmm2Vr,The New Zapp IV U,Zapp,1985-01-01,https://i.scdn.co/image/ab67616d0000b2733c344708fbfd3541296bdda9
3aUZ0iLjcePsDggYsZAGBZ,All the Greatest Hits,Zapp,1993-09-28,https://i.scdn.co/image/ab67616d0000b27332b79ef6568ef7eccac968a6
3ciEcHv8axaPC5YHTJ72Bg,So Good,Zara Larsson,2017-03-17,https://i.scdn.co/image/ab67616d0000b27363096781fe4457ab19cde99a
0Z9dJKco6vRa1C94PXric9,Water Lilies,Zayy,2019-07-05,https://i.scdn.co/image/ab67616d0000b273f52fc362721dc46fee0452ed
7iXV74Ij5lEvt6Msi4e12z,Paris,Zaz,2014-11-07,https://i.scdn.co/image/ab67616d0000b27343ddfb314d892a8f3864a57f
6kb00WTbKIXhUqK8VAFXod,Merle Noir,Zazou,2007-12-21,https://i.scdn.co/image/ab67616d0000b273778a12fb9cdc9fa5add0c589
5NxHvza5X6H8pjspvXliUP,Mixed Feelings,ZeDe,2022-06-03,https://i.scdn.co/image/ab67616d0000b27381b20acd7fdc9cebfab99b1e
10kZP0BAsuS5U0ajO7ioV0,Sambabook Zeca Pagodinho,Sambabook,2014-03-20,https://i.scdn.co/image/ab67616d0000b2733666b8a2aa5ccc754568013e
3mnDhNKj8zIxFCx5Bzsq4x,Prayer For Peace,Zeitgeist Freedom Energy Exchange,2021-10-29,https://i.scdn.co/image/ab67616d0000b2731a5cf193c50c0ed4dbbcac96
6cWyOQAO4L1c6arQNpyJxB,The Road,Zela Margossian Quintet,2022-02-25,https://i.scdn.co/image/ab67616d0000b273d9634a0527684f7b2b1fa197
7zLjHv906AQXMJ6307lqWL,In Between,Zen Park,2022-03-10,https://i.scdn.co/image/ab67616d0000b273b2ae1f296afc68490f240596
2yM6ix5NsiK1Mb1wq72CsQ,Bouncin Bags,Zen Park,2022-02-10,https://i.scdn.co/image/ab67616d0000b2731553699844a005cc5dbf8127
5VEhJ3xJooJS47GfC9PE3m,It's Just,Zen Park,2024-04-19,https://i.scdn.co/image/ab67616d0000b27375a03501997da72125af4909
6dL43lkxGIetfLsiNL6vur,The London Horn Sound,The London Horn Sound,2009-02-03,https://i.scdn.co/image/ab67616d0000b2733ba4115c920185519037d5aa
3pCsqga31zbNqADQccm1Pm,Brass Hommage,German Brass,2018-06-08,https://i.scdn.co/image/ab67616d0000b27376edb5b11b559b6ebb886b25
1VRBB9iu84o3g16CczH9iH,Simple Things,Zero 7,,https://i.scdn.co/image/ab67616d0000b2730f387fd18dfdc5f0c18b80d3
4vQcWE7Ce6ORsatrqXkBtt,Simple Things Special Edition,Zero 7,2018-11-30,https://i.scdn.co/image/ab67616d0000b2737f9ceecf92000e7fb9a676ba
5eqHucyy09GuijWam8RAja,The Garden,Zero 7,2006-05-22,https://i.scdn.co/image/ab67616d0000b27363a4651c5579c8528946b03e
6jH8B2boL4X8mBVm2R4eaK,Per dimenticare,Zero Assoluto,2009-05-01,https://i.scdn.co/image/ab67616d0000b27365c4eccee0cc3934c79876a3
2SKj0jWgDjAfcVrei0Sruq,Twofold,Zerolex,2015-11-20,https://i.scdn.co/image/ab67616d0000b27306272c70fcb53277c5888815
5Pd9BAdq82WtSRll6W9zHC,Ten Thousand Storms,Zinan,2021-07-16,https://i.scdn.co/image/ab67616d0000b273f43d3d31084170fff5f817e3
07VjmhXeWj2hUMXPZlxQ9T,Bedtime Thunder,Zinan,2021-10-01,https://i.scdn.co/image/ab67616d0000b2739c6283efafb76a68fa1cca47
6cUCAmqlWll7Lhty6F2Bl0,Level Up,Zmeyev,2023-11-10,https://i.scdn.co/image/ab67616d0000b2739db305d2d246d24d01001986
6YvseJc0b6R4qIGuYNwsPR,Hug Cloud,Zmeyev,2022-01-28,https://i.scdn.co/image/ab67616d0000b27322afd231c358ab8b2207781d
3bY81Gkway6sz3GViaOikS,JazzStories,Zmeyev,2021-12-24,https://i.scdn.co/image/ab67616d0000b2739486179fc9d42785a9a438ab
6Wfn25bD9miwF2ptQZMGyJ,Olive,Zmeyev,2024-07-05,https://i.scdn.co/image/ab67616d0000b273f21b1941b0f2a7f42bcfa706
4osACQSLdQCgzzq5ifvfGe,Modern 90's,Zmeyev,2024-02-16,https://i.scdn.co/image/ab67616d0000b27367be76a50849ea659311009e
1NlyMIeGd01ovIX5XCWRXq,Move Around,Zmeyev,2024-08-23,https://i.scdn.co/image/ab67616d0000b2735a4fb45c4ae9d49ef253c9d0
3WcRnNVspF3hzXHoOF3avf,Forest Path,Zmeyev,2021-04-09,https://i.scdn.co/image/ab67616d0000b2732756c29fbbc7fca5b3350d17
