album_id,album_artwork,album_name,artist_name,release_date
002H8sA77XFikjH4kbPaph,https://i.scdn.co/image/ab67616d0000b2730f7ea7d45b75a3dabac59140,The Heavy Entertainment Show (Deluxe),Robbie Williams,2016-11-04
003VewB37v1OnUJGpLq6Wv,https://i.scdn.co/image/ab67616d0000b2736ca2fac33b28153d9c043c27,"All Good Records: Freshly Baked, Vol. 01",Various Artists,2016-10-22
005i4RP0388f6wX14YDbZ3,https://i.scdn.co/image/ab67616d0000b27329421a686879389b42be0388,Square Thoughts,Unstable,2024-12-30
006BXWFpgckHlmMvpeQKqI,https://i.scdn.co/image/ab67616d0000b27396f627003a95bfa34a16504b,Sony Jazz Collection,Stan Getz,1997-10-01
006lcN1Ts0A5KzphrNTga9,https://i.scdn.co/image/ab67616d0000b273455e199ebbe5afb90dd6c911,Dilemom,Rafa Vigoy,2019-10-14
007wB6boG1GIYhns3v95NL,https://i.scdn.co/image/ab67616d0000b27396fdbe5d0704388eb64cb032,The Darkest Pieces of Jazz,Various Artists,2013-10-29
009EjjwUjtdjvH7UP0wHzi,https://i.scdn.co/image/ab67616d0000b273423ac018d0ec2301e40948a0,A Light for Attracting Attention,The Smile,2022-05-13
009Rfs9urNO7gmuxYWkrWf,https://i.scdn.co/image/ab67616d0000b273273387f1b2044d6a138a5beb,Before You Leave,Geeder,2020-12-11
009tqmZw85Qf26eEfo2PUR,https://i.scdn.co/image/ab67616d0000b273b6b45061f1c159ea2ff64e5f,Voices of Control EP,Cleric,2016-04-27
00ApSLbCmqWlXfyrN5Uoda,https://i.scdn.co/image/ab67616d0000b273f08fba2b6d91d8a7543a7971,My Peoples,AC Slater,
00Cx9aez5TDCItSl2Sv4zc,https://i.scdn.co/image/ab67616d0000b273d5503857a6bc67a6a703ce1d,Divinorum,Au5,2019-05-24
00EK6TRKUh4NqZNJ1shjRo,https://i.scdn.co/image/ab67616d0000b273e8190959c7627404e6f98b91,Dry Bar,Johny Luv,2023-10-06
00EiQjifmFTLcEazkCM7Rl,https://i.scdn.co/image/ab67616d0000b27326a3ebdb4e994b45773488ed,The Witcher 3: Wild Hunt - Hearts Of Stone (Original Game Soundtrack),Marcin Przybyłowicz,2015-10-13
00FTVjrEvAKHGlHSL9UU6w,https://i.scdn.co/image/ab67616d0000b273498a8c53a7cf60b228708d8b,Koobas,The Koobas,
00GKYTcoOE8YZ7KqVngw48,https://i.scdn.co/image/ab67616d0000b273cc62deb984f9979fe7be221f,Engines,iasilma,2022-09-02
00GMnZ71KyvmEnZfqcsFP4,https://i.scdn.co/image/ab67616d0000b2735893ae3de02b83786469af35,Abba Gold Anniversary Edition,ABBA,2014-01-01
00IPpzD5bAX0vtU6GG3tYz,https://i.scdn.co/image/ab67616d0000b273866eebcbaa0465ba5d9838f2,A Mouthful of The Mary Wallopers,The Mary Wallopers,2019-07-06
00MudAJNGTxCUkQrtRz2hY,https://i.scdn.co/image/ab67616d0000b2730123cb16045fb48bf5e408ab,Last Time Around,Buffalo Springfield,
00NU9JjK7J3YSYhDzfuzrb,https://i.scdn.co/image/ab67616d0000b27379a9be8af1193f50b28f7a54,Terraria (Soundtrack),Re-Logic,2011-11-01
00OWQWMOttbTKrONmE9ZOe,https://i.scdn.co/image/ab67616d0000b27379a0ae990d3c99b5fb82ca56,Mystic Vision,Snow Bone,2014-09-24
00P3tI6puyH6NRmTaPIptz,https://i.scdn.co/image/ab67616d0000b273c9f21b6f624e55c3b426dcce,Nite Versions,Soulwax,
00QhioPN9frbBoaG7m2mut,https://i.scdn.co/image/ab67616d0000b2732a60292d92759ae7548a6297,White Light,Gene Clark,
00ZKth0dl5axbKIriIQLkR,https://i.scdn.co/image/ab67616d0000b2736fe1197aff029950ee2209ea,II,Meat Puppets,
00ZmLKljHmPHYtB3nJtDFX,https://i.scdn.co/image/ab67616d0000b2731bce4d68b1063ccae590bd66,Green Memory Grass,Mama Aiuto,2022-07-15
00aKk5RWR3WvFqgxx7FWbi,https://i.scdn.co/image/ab67616d0000b273df0876ef91e1badef94f5592,DJ-Kicks (Carl Craig),Carl Craig,1996-03-25
00bAjAIqUpoyE1TpJPjz14,https://i.scdn.co/image/ab67616d0000b273432b7870b0de4977c3e1e0cd,Wenn der Südwind weht,Roedelius,
00biPgUkS0M5xwNMoGXKxm,https://i.scdn.co/image/ab67616d0000b27352262ace088ce70ecdab08e3,Nigredo Edition,I Hate Models,2017-04-07
00btWJDLFEzJHq7EwuBQbM,https://i.scdn.co/image/ab67616d0000b273c4e1a512108d8b3b2b26e595,I Should Be Home,Balu Brigada,2022-09-23
00cZAqb57SRmKrcpFYWuye,https://i.scdn.co/image/ab67616d0000b273129b0b05e5bd76c5f2f99575,Golden Moments,Jill Scott,2015-08-28
00caEtdeZC0QK2FP98fTGA,https://i.scdn.co/image/ab67616d0000b2738901fe311948283732fa7669,44 Octobre,Frédéric Metthé,2008-03-01
00csHsSrBjmgpC0hKohn5m,https://i.scdn.co/image/ab67616d0000b2733ef09fd89ecbab63904a58aa,Colebrooke Row,Milroy’s of Soho,2017-08-17
