artist_id,primary_genre,supergenre,artist_image,artist_name,artist_popularity
001aJOc7CSQVo3XzoLG4DK,funk,Funk/Disco,https://i.scdn.co/image/4441bbc9d715dec9b04cc3f0cd5030b647a5c017,One Way,47
003Lrmd4Hy04kSf0wZm3xm,ambient,Ambient & Experimental Electronic,https://i.scdn.co/image/ab6761610000e5eb6d9b129c63c14d68c8d00d20,Yamaneko,29
005aNwS2ayjqoZxwakSyt4,jazz house,House & EDM,https://i.scdn.co/image/ab6761610000e5eb86af127b2f3004734f99f445,Tom Jarmey,39
007v73u6rZJTbjSxk7kEHv,Funk / Soul,Funk/Disco,https://i.scdn.co/image/ab67616d0000b2731d98ef67d8f1fa5d6efa0c48,Boco,19
00FQb4jTyendYWaN8pK0wa,Electronic,House & EDM,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,Lana Del Rey,92
00G1NTDAoU7rBpjG4KoYAM,trip hop,Ambient & Experimental Electronic,https://i.scdn.co/image/ab6761610000e5eb2383dc83b9a15a7646097da1,DJ KRUSH,42
00IUMN7pWAU2jYWcdOt5c3,techno,Techno & Trance,https://i.scdn.co/image/ab6761610000e5eb0956f104d851988f8b6e985f,Marco Faraone,35
00KgxI2oCcnE1DbNFJeQqZ,progressive rock,Rock,https://i.scdn.co/image/58491ad62d5d81c2128550a9307699ceb8f0203c,Ragnarök,19
00NwpiTtYKYzE6yEhSbFIk,industrial,Alternative/Indie,https://i.scdn.co/image/bd44915ccb3c2a2c83ac0073644b35a76061bca1,Prurient,26
00OX175uYCsHJPLZOjNJqe,italo disco,Unlisted,https://i.scdn.co/image/ab6761610000e5eba05eb6e2d4a0a73ad4ca171e,Ken Laszlo,48
00WeoVQbYetdrq9rbkVoLj,Blues,Blues,https://i.scdn.co/image/ab67616d0000b273ddad47b8ed3402b7ec3ee048,Exuma,29
00hKB8cu5lyBE35ilxyP7v,Rock,Rock,https://i.scdn.co/image/14449ceb4131a274ce92bf56306356cddea53349,Lillix,33
00qXkZH8ggiTZqn3z4ocQ7,Rock,Rock,https://i.scdn.co/image/ab6761610000e5ebc2f16c067d81191cbaa6ef88,DEWEY,1
00sazWvoTLOqg5MFwC68Um,Classical,Classical/Orchestral,https://i.scdn.co/image/ab6761610000e5eb38c055afa566dd9f0c56fec1,Yann Tiersen,66
00tVTdpEhQQw1bqdu8RCx2,classic rock,Rock,https://i.scdn.co/image/ab6761610000e5eba50ccc99f741a7899654bc16,Blue Öyster Cult,66
01C9OoXDvCKkGcf735Tcfo,chanson,Pop,https://i.scdn.co/image/ab6761610000e5ebac7fa567b8c84f04cb5d4cbc,Serge Gainsbourg,57
01JNOo6z0UWQWqwftahrYz,dubstep,Bass Music,https://i.scdn.co/image/ab67616d0000b2736e8da01f5e7c1ff50da62781,D1,14
01Jsi7Q2a1GdLvNShahaj1,garage rock,Rock,https://i.scdn.co/image/ab6761610000e5eb0ed7d71fde428b89bc39636c,Royal Headache,34
01N1aZStXA4yGvkz4vRXtJ,bluegrass,Country/Americana,https://i.scdn.co/image/91f4fcb0a0113c209416bdfb93d6d960d0ef2dc3,Doc Watson,50
