show_id,show_total_episodes,show_artwork,show_name,show_description,publisher,show_image
05b3wHqKjBKNpAOr8q19tj,,,Olivia Rodrigo and Melanie Martinez ,"Sometimes I'll post songs other than Olivia Rodrigo and Melanie Martinez/Às vezes, postarei músicas sem ser da Olivia Rodrigo e Melanie Martinez.     Hope you like it/espero que gostem. :)",richard,https://i.scdn.co/image/ab6765630000ba8aea1b55ab4d325e498be74163
09Yn1pDzvlIopYivcKO1Sm,,,Agitpod with Owen Jones & Ellie Mae O'Hagan,Journalists Owen Jones and Ellie Mae O’Hagan chat all things political as part of a new fortnightly podcast.,This Is Distorted,https://i.scdn.co/image/ab6765630000ba8a9b38c7536020b00a07abade8
0EAWEB1slANlmpbv7zlzvX,,,Curious Cases,Hannah Fry and Dara Ó Briain tackle listeners' conundrums with the power of science!,BBC Radio 4,https://i.scdn.co/image/ab6765630000ba8a1c3003ecc201fa5131776736
0EwDk36KVbO6d6Rbjacf4Z,4.0,,Billions Club: The Series,,Spotify,https://i.scdn.co/image/ab6765630000ba8a467ed87c8b7ed76d7d990ca8
0FvM6dYOvFq4xBFrU4KFRz,,,Scotland Yard Confidential ,"What makes a great detective? A razor-sharp mind? Amazing powers of deduction? Unique observational skills? Or simple perseverance? Each week on Scotland Yard Confidential, we enter the minds of some of the greatest detectives in history — real-life sleuths who would give Sherlock Holmes a run for his money. We'll follow in their footsteps as they hunt down suspects and crack seemingly impossible cases. Scotland Yard Confidential is a Spotify Original from Parcast, produced in partnership with Noiser. New episodes Thursdays! ",Spotify Studios,https://i.scdn.co/image/ab6765630000ba8a7b620ae303d7f404df8cdb38
0JLjqhHBRN8qMTGKikm97B,63.0,,Real Crime,,Real Crime,https://i.scdn.co/image/ab6765630000ba8a27ecb52f78ac53bd3d9718fa
0KvuZJgXfOGanBRuq6B9dm,94.0,,ExtinctZoo,,ExtinctZoo,https://i.scdn.co/image/ab6765630000ba8a579e1552e484e29d05bbd705
0QORyVQIR6eXZO2I8uFml2,37.0,,Trap Lore Ross,,Trap Lore Ross,https://i.scdn.co/image/ab6765630000ba8a9c8179955fde464d3810e1fe
0QXooutmOt6eGWBsE9Hjih,1.0,,"sometime before 1975, near the end of time (everywhere at the end of time but vietnamese)",yup i spent 2 days working on this. this like kinda isn't on yt yet because of technical difficulties but it will be soon yeah. this is a fan project of everywhere at the end of time by the caretaker but with like viet music from the vietnam war and stuff. it's basically about this dude with ptsd and dementia or something yeah but it sounds good nonetheless. i might like add more stages to the future so yeah look out for that or something.,society of reverb thingy,https://i.scdn.co/image/ab6765630000ba8a15a100fa1831d99c1c397e45
0RGEVVuTuaNRYtg1cVYIEk,,,پادکست ترجمه صوتی قرآن - مسعود ریاعی - masoud riaei,ترجمه صوتی قرآن مسعود ریاعی  این پادکست غیر رسمی بوده و برای استفاده راحت خودمون ساخته شده,nimac,https://i.scdn.co/image/ab6765630000ba8a304992f40a7c0aed075dce3f
0RiE3MTj4kWyY6LDfG4xWa,,,Off Topic,The lads and lasses of Achievement Hunter congregate each week to discuss the important questions in life. Plus drink beer. Watch LIVE every Thursday at 3PM CT on Rooster Teeth Live. Watch the free video version at YouTube.com/AchievementHunter.,Rooster Teeth,https://i.scdn.co/image/ab6765630000ba8aa39943d8eb89e02067b88150
0azMejb7zrmAqctVsUSAdq,,,Off Menu with Ed Gamble and James Acaster,"Comedians Ed Gamble and James Acaster invite special guests into their magical restaurant to each choose their favourite starter, main course, side dish, dessert and drink. Ever wanted to eat your dream meal? It's time to order Off Menu. Hosted on Acast. See acast.com/privacy for more information.",Plosive,https://i.scdn.co/image/ab6765630000ba8a35641b80c9d83f6717c2452c
