track_id,user_id,explicit,track_popularity,release_date,album_name,artist_name,track_name
003GtyllsuaxHizikewQOE,b5540681352e06ac,False,3,2009-02-01,Strauss Till Eulenspiegel And Ein Heldenleben,Richard Strauss,Till Eulenspiegels lustige Streiche Op 28
003vvx7Niy0yvhvHt4a68B,1e2e44dad56e626f,False,88,2004,Hot Fuss,The Killers,Mr. Brightside
00D1OTDa5XtMGobHJjKYBb,b5540681352e06ac,False,15,2022-03-18,Jacob's Ladder,Brad Mehldau,(Entr’acte) Glam Perfume
00eyo1QSEJHyGXx3faDyVJ,179d97494603457f,False,13,2020-04-17,Berghain Fünfzehn,Luke Slater,O-Ton Reassembled 7
00jU9AhBS0cTDB10Nb6Zq2,179d97494603457f,False,3,2015-03-01,Goodness,Rezzett,Boiling Ds
00qnJBzKE8FQsIXoio0Kqd,b5540681352e06ac,False,2,2011-06-07,The Music of David Maslanka,David Maslanka,Give Us This Day: II. Very fast
00rXgpDTOBlDLBR56E9VGE,179d97494603457f,False,0,2017-06-30,"Brownswood Bubblers Twelve, Pt. 2 (Gilles Peterson Presents)",Blood Wine Or Honey,Anxious Party People
016HKF7A4O7tatoJ9BgZM1,179d97494603457f,False,60,1963,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),John Coltrane Quartet,Say It (Over And Over Again)
01K4zKU104LyJ8gMb7227B,1e2e44dad56e626f,False,71,2021-11-12,Red (Taylor's Version),Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)
01V140OqH7gLVyjdOpTb95,179d97494603457f,False,0,2024-11-11,Applications,Shed,UFO2
01e62RkwR1TyGYLGmsx6OE,179d97494603457f,False,16,2006,Game Set Match,Nic Jones,Seven Yellow Gypsies
01fNTPDHXR52odJteJy8fb,179d97494603457f,False,0,2014-09-09,Linear S Decoded,SHXCXCHCXSH,Drain This Lord
01gDLZsi0j5fWC28FLPNO8,b5540681352e06ac,False,57,1970,Curtis (Expanded Edition),Curtis Mayfield,Move on Up - Extended Version
01lewSOj9ZaXplh9TpNKL4,179d97494603457f,False,0,1980-09-29,Hotter Than July,Stevie Wonder,Happy Birthday
01vdTGouTD3gV7WvlSEmWv,1e2e44dad56e626f,False,27,2022-05-21,Amire Bi Gazand,Mohsen Chavoshi,Motasel
01zjzsmCRsvCEAE0hlWuC6,1e2e44dad56e626f,False,0,2023-02-10,You Put A Spell On Me,Austin Giorgio,You Put A Spell On Me
02LevtABjz82lKwWSwEXHB,b5540681352e06ac,False,0,1997-01-01,Schubert: Piano Sonatas Nos. 19 & 21,Franz Schubert,"Schubert: Piano Sonata No. 21 in B-Flat Major, D. 960: I. Molto moderato"
02MxQbsvjcBglrAzUurgPr,1e2e44dad56e626f,False,60,2024-10-18,The Epilogue,Dean Lewis,All I Ever Wanted
02NcZ0ugRA786A64bnsnnc,b5540681352e06ac,True,0,2005-09-27,Twisted Transistor,Korn,Twisted Transistor
02VikZ6xToAb48LlMaUOtw,b5540681352e06ac,True,0,2011-02-13,Higher & Higher,The Blackout,Higher & Higher
02Zkkf2zMkwRGQjZ7T4p8f,1e2e44dad56e626f,False,60,2022-10-22,Midnights (3am Edition),Taylor Swift,Anti-Hero
02jCzgsSElP69X2i4Jv1ix,1e2e44dad56e626f,False,50,2022-11-04,The Hardest Love,Dean Lewis,The Hardest Love
02sDsqbdFZzgV3FqKlhRkN,179d97494603457f,False,38,2011-12-01,"Sing and Learn, Vol. 1 - A Collection of Nursery Rhymes to Help Little Ones Learn and Develop.",Vicky Arlidge,Baa Baa Black Sheep
02t2kfqtYpPW8718hxnBcV,1e2e44dad56e626f,True,45,2019-12-13,Heavy Is The Head,Stormzy,Superheroes
031rzMIwZATyYYOPC2EYva,1e2e44dad56e626f,False,29,2013-05-16,Doost Daram Zendegiro (I Love Life),Sirvan Khosravi,Doost Daram Zendegiro (I Love Life)
036ZNJdUd5hya7JBEkPudn,b5540681352e06ac,False,27,1990-01-01,Solo,Barry Harris,That Secret Place
03Picfq5WafffpdlS3207G,b5540681352e06ac,False,0,2017-11-03,"Bartók: Concerto for Orchestra, Violin Rhapsodies & Dance Suite",Béla Bartók,"Concerto for Orchestra, Sz. 116, BB 123: I. Introduzione. Andante non troppo - Allegro vivace"
03PovWuWxc95k3VuOKWQXM,1e2e44dad56e626f,False,14,2022-06-10,King of a Tragedy (Deluxe version),Isak Danielson,Love Me Again
03fJjiNTn1gyzbqHl1Hskt,b5540681352e06ac,False,0,2020-12-02,Windswept Adan,Ichiko Aoba,Dawn in the Adan
03lxABKAHwqHekow46QB79,179d97494603457f,False,0,2017-03-10,Elektrac,Shobaleader One,Squarepusher Theme
03p1bgcOw398mneQ9H8891,1e2e44dad56e626f,False,60,2024-08-30,Cacophony,Paris Paloma,as good a reason
04GyFGGvAyItrPfeV0HNj2,b5540681352e06ac,False,0,2015-07-17,Currents,Tame Impala,Eventually
04WxWo7XeVyx22xEsrWRUb,179d97494603457f,True,63,2023-07-28,UTOPIA,Travis Scott,GOD'S COUNTRY
04ZTP5KsCypmtCmQg5tH9R,1e2e44dad56e626f,False,70,2018-06-22,Expectations,Bebe Rexha,I'm a Mess
04c3I9uaDc71e5Xty9SG44,b5540681352e06ac,False,13,2014-03-19,Pictures at the Exibition (Ultimate Edition),Isao Tomita,Picture at the Exibition: I. Promenade - Gnomes
04dVr3qVTuIU9PiPzXB3px,1e2e44dad56e626f,False,48,2024-10-18,The Epilogue,Dean Lewis,I Still Do
04daeztQJg7lyDDAHJ70rT,179d97494603457f,False,40,1972-10-01,Vaughan Williams: Tallis Fantasia; Fantasia on Greensleeves; The Lark Ascending etc.,Ralph Vaughan Williams,Fantasia on a Theme by Thomas Tallis
04eUmZNYvn4aPMMxVnshiB,179d97494603457f,False,0,2017-06-30,"Brownswood Bubblers Twelve, Pt. 2 (Gilles Peterson Presents)",Yisrael Trio,Above the Clouds
04hAwr98yuWXu11xY6KHx8,b5540681352e06ac,False,26,2022-05-12,Dumptydum,JAY VANILLA,Dumptydum
04hSgDMvXPi5UiYeGbHvnt,179d97494603457f,False,0,2017-02-17,Rawabet,Helm,Fog Variations II
04js3pBP9ytpLsT2bXtLbk,1e2e44dad56e626f,False,37,2017-05-28,Kheili Rooza Gozasht,Sirvan Khosravi,Kheili Rooza Gozasht
04yCUOpjaN4VyQnvC9xPIe,b5540681352e06ac,False,10,2001-01-01,Mozart: The Piano Sonatas,Wolfgang Amadeus Mozart,"Piano Sonata No. 14 in C Minor, K. 457: I. Molto allegro"
0523noRNbqzLPaA5H3yup8,1e2e44dad56e626f,False,0,2020-03-31,Mojaz,Hichkas,Rosva
053VyrPahH1YF5vd8e7YYp,b5540681352e06ac,False,0,2007-04-10,Sibelius: Symphony No. 2,Jean Sibelius,Symphony No. 2: Allegretto
05502BY6MKE9x7zhDR5iIu,179d97494603457f,False,19,2018-08-17,Smote Reverser,Thee Oh Sees,Last Peace
05LTrpC9z6YpTPmaeGC9kQ,179d97494603457f,False,41,1969,Boz Scaggs,Boz Scaggs,Loan Me a Dime
05MqkhneIhKSPJ76FBSULY,b5540681352e06ac,False,35,2015-06-22,Get To Heaven (Deluxe),Everything Everything,Warm Healer
05Z7P0sjCNkFXM5XIgIiaW,179d97494603457f,False,30,1993-05-10,Modern Life Is Rubbish,Blur,Miss America - 2012 Remaster
05ik2fyyDO5QCWZ3SUxaGa,179d97494603457f,False,27,2018-02-23,Rezzett LP,Rezzett,Wet Bilge
05kVyNUR9uibHta4jcGTTv,b5540681352e06ac,False,55,2016-01-22,Bloom,RÜFÜS DU SOL,Innerbloom
05lOXZuJyELJT0gS1cdyzj,b5540681352e06ac,False,0,1959,Chet [Keepnews Collection],Chet Baker,Alone Together
