primary_genre,supergenre
21st century classical,Classical/Orchestral
432hz,New Age/Meditation
48g,Pop
5th wave emo,Punk/Hardcore
8-bit,Ambient & Experimental Electronic
8d,Other
A cappella,Pop
Aarhus indie,Alternative/Indie
Aberdeen indie,Alternative/Indie
Aboriginal,World/Traditional
Abstract,Ambient & Experimental Electronic
Abstract beats,Hip Hop/Rap
Abstract hip hop,Hip Hop/Rap
Abstract idm,Ambient & Experimental Electronic
Abstractro,Ambient & Experimental Electronic
Accordeon,Folk/Acoustic
Accordion,Folk/Acoustic
Accordion band,Folk/Acoustic
Acid,House & EDM
Acid house,House & EDM
Acid idm,Ambient & Experimental Electronic
Acid jazz,Jazz
Acid rock,Rock
Acid techno,Techno & Trance
Acid trance,Techno & Trance
Acidcore,Bass Music
Acousmatic,Ambient & Experimental Electronic
Acoustic,Folk/Acoustic
Acoustic blues,Blues
Acoustic chill,Folk/Acoustic
Acoustic cover,Folk/Acoustic
Acoustic guitar cover,Folk/Acoustic
Acoustic opm,Folk/Acoustic
Acoustic pop,Pop
Acoustic punk,Punk/Hardcore
Acoustic rock,Rock
Action rock,Rock
Adelaide indie,Alternative/Indie
Adelaide punk,Punk/Hardcore
Adivasi pop,Pop
Adoracao,R&B/Soul
Adoracion,R&B/Soul
Adoracion pentecostal,R&B/Soul
Adult standards,Pop
Adventista,R&B/Soul
Aesthetic rap,Hip Hop/Rap
Afghan pop,Pop
Afghan rap,Hip Hop/Rap
Afghan traditional,World/Traditional
African,World/Traditional
African electronic,House & EDM
African experimental,Alternative/Indie
African gospel,R&B/Soul
African metal,Metal
African percussion,World/Traditional
African reggae,Reggae/Caribbean
African rock,Rock
African-american classical,Classical/Orchestral
Afrikaans,World/Traditional
Afrikaans folk,Folk/Acoustic
Afrikaans gospel,R&B/Soul
Afrikaans hip hop,Hip Hop/Rap
Afro dancehall,Reggae/Caribbean
Afro drill,Hip Hop/Rap
Afro house,House & EDM
Afro psych,Rock
Afro r&b,R&B/Soul
Afro soul,R&B/Soul
