artist_name,artist_id,artist_popularity,artist_image,primary_genre,super_genre
18th Century Melody,0ksxgmCRVi8GxzCWRqpXjy,0,https://i.scdn.co/image/ab67616d0000b273dc9dbd2c0f3563d2c974e04e,,
222garden,3a1AvuhA1L90fgYpBcgX14,0,https://i.scdn.co/image/ab6761610000e5eb0b25b0fbd633522cb9abd140,,
51 Black Super,5VWK31RnPSWHaJO2gtk2bQ,0,https://i.scdn.co/image/ab67616d0000b2731723472491a58fca71db3b5e,garage rock,Rock
A Christmas Carol Orchestra,1SCzSzIDniOq76j7spB5ZU,0,https://i.scdn.co/image/ab67616d0000b2735f999a32b371bc87233fa3d9,,
AV,6p7dtRTBKzbCh8ZZEyDLzD,0,https://i.scdn.co/image/ab6761610000e5eb485b3d6a5ac70013a51bcdfc,Electronic,Ambient & Experimental Electronic
Above Atlas,2yuxPdEXFfqas4sbP1ENKL,0,https://i.scdn.co/image/ab67616d0000b27336a683a19dee8958fe8f5e17,,
Acid Rezerver,3hfYldW3pHuFSCiZz8qgdm,0,https://i.scdn.co/image/ab6761610000e5ebc0148769d1f3c500bc33e945,tekno,Techno & Trance
Acoustic Sinners,7FNogofJpD769gdAzon4mE,0,https://i.scdn.co/image/ab67616d0000b2736eec9e495d3f721d4e3ab8a1,,
Adrien Barthe,1Owa4pZksoHsviEiMl3v72,0,https://i.scdn.co/image/ab67616d0000b2737b894d2d2c8c8d64bce2cc72,,
Agrande,3rZkwvVkWE5aKkxxP7EQxd,0,https://i.scdn.co/image/ab67616d0000b273854e977f36e67c20903d1b47,progressive house,Electronic Dance Music (EDM)
Alan Weekes,6EcnnY75m5Qd2q8FDZC719,0,https://i.scdn.co/image/ab67616d0000b273931cb5d86bbb351da0c04377,lovers rock,Reggae/Caribbean
Aleks Tremblay,3yXhRmNLI3PEl3bhtBjQZv,0,https://i.scdn.co/image/ab67616d0000b2738a0ad628f776d4ac7b29101c,,
Alenia,5n8p6vrexqR7wICnZEPR18,0,https://i.scdn.co/image/ab67616d0000b273b1711a418e518d39f5c756bb,tribal house,Electronic Dance Music (EDM)
Alex Sword & John Chevalier,62fNEnQzoYJImiMEZprIsD,0,https://i.scdn.co/image/ab67616d0000b2730dba6231a21b42908e96019f,Electronic,Ambient & Experimental Electronic
Alicia Bings,6N2oZcmd9jICcDDYrjkpjU,0,https://i.scdn.co/image/ab67616d0000b2739fb8c7f94f263123e8a6580d,,
Alpaca Factory,2Djyy8bQS3gY7GyzPg7iH9,0,https://i.scdn.co/image/ab6761610000e5ebad823f21d66a8237eeb632e4,,
AlteredRealityy,5AKTion2BMsQv7Ee9FOW7i,0,https://i.scdn.co/image/ab67616d0000b2734e328a47c1f7f3c2066d7bd8,,
Amiicus,5q7IVqZvuVn6qDujPVQn8O,0,https://i.scdn.co/image/ab6761610000e5eb9823682f27dc81a85120f863,,
Amnesia Amnesia,1lVw8FQWc96y4YH0AVc1G7,0,https://i.scdn.co/image/ab6761610000e5ebb323ac474c25d71f3a785673,Rock,Rock
Amos Jules,0WmIntPodE5ZfXvGmsjS1A,0,https://i.scdn.co/image/ab67616d0000b273206a439db3f8dc81e3cb72d0,,
Ana Marce,2hLg5cn5tsX7PjWKJHjknH,0,https://i.scdn.co/image/ab67616d0000b273fb4b11fb1f1bf5fb6c33ef69,,
Anima & Ennui,1U0ooypQ59GyKyj1smbLz7,0,https://i.scdn.co/image/ab6761610000e5ebbbc8f63960ec4f0f7cc3ff7a,,
Apeman Spaceman,66BH8Jnv0yD9okIXPWR5vZ,0,https://i.scdn.co/image/ab6761610000e5ebb4fcb5913fdef3f89bb3eb88,Rock,Rock
Arno Vancolen,6l7kpMU6vrvpM901UnNuTi,0,https://i.scdn.co/image/ab67616d0000b2735ff7bbc5d77aca95f12ee2f8,krautrock,Rock
Arousal,2Jd6LzzVNarAIgxvgrmfD5,0,https://i.scdn.co/image/ab67616d0000b2732ae5893e9c3bd55a3ec0528c,Rock,Rock
Asturcón,0C7T0DUskkIgfksJyipVxt,0,https://i.scdn.co/image/ab67616d0000b273fa974e9de1e1c046ec6526a7,progressive rock,Rock
Austen Showers,0VGhCK8wuBJ69zSVVNM5PP,0,https://i.scdn.co/image/ab6761610000e5ebecefc0c71579ca740529c7cd,,
Awale Jant Band,6cinIxSY7ulubocBa3sQxs,0,https://i.scdn.co/image/ab6761610000e5eb479069f7afa8b706e609ed68,Jazz,Jazz
Azajjin,2qyeeNPXHdRwjAnDhV4dhZ,0,https://i.scdn.co/image/ab6761610000e5eb3398db45ab74437713e19e9b,,
B.I.G.,0NyUIeeFpzzj0N11EX5Krc,0,https://i.scdn.co/image/ab6761610000e5eb0a4221c5ea361ef8dde7df8d,cloud rap,Hip Hop/Rap
BK Slider,0ATwzqCF4VdxLY3diMzUjC,0,https://i.scdn.co/image/ab67616d0000b273295bc702bff354ab786d1736,,
BRITE GVNG,03SG3QYfweGjoOw26Mgdsv,0,https://i.scdn.co/image/ab6761610000e5ebbdd5e8d18bd582ccfbb8f947,,
Baegul,18oQ2z0zwGPeierU42Mz2P,0,https://i.scdn.co/image/ab6761610000e5eb901166140af3e585e1881213,,
Ballrogg,4g37xg3Zop1LXwDRZWbRLu,0,https://i.scdn.co/image/ab6761610000e5eb2bb02702b3eab7f81196be23,free jazz,Jazz
Bambi,7lTVuYCjgogS9Dbnm9dotf,0,https://i.scdn.co/image/ab67616d0000b2735d5d4d6488cf1dd276afe28a,Electronic,Ambient & Experimental Electronic
Bankxy,4PMOUAoh7xHL7WQ1isti9s,0,https://i.scdn.co/image/ab6761610000e5eba483c9da2e0d5822b52bf8a7,,
