date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl
01-01-2020,'Apocalyptic': New Zealand shrouded in smoke from Australian bushfires,Swathes of the South Island are affected by haze with the sky in places turning orange ,https://www.theguardian.com/world/2020/jan/01/apocalyptic-new-zealand-shrouded-in-smoke-from-australian-bushfires,https://media.guim.co.uk/302818dd8d5bfbb366d60a745966aed81b911881/103_0_2094_1257/500.jpg
02-01-2020,New Zealand rodeo season opens amid fresh animal rights protests,"Activists claim the cowboy events are cruel to bulls and horses, but organisers say they are a lifeline for isolated rural communities",https://www.theguardian.com/world/2020/jan/02/new-zealand-rodeo-season-opens-amid-fresh-animal-rights-protests,https://media.guim.co.uk/65fc0977fbf9842281c889a37731ce3e58c0940e/0_34_3180_1908/500.jpg
03-01-2020,'We are not safe': India's Muslims tell of wave of police brutality,Police in Uttar Pradesh state have embarked on ‘reign of terror’ against Muslims in wake of new citizenship law,https://www.theguardian.com/world/2020/jan/03/we-are-not-safe-indias-muslims-tell-of-wave-of-police-brutality,https://media.guim.co.uk/f06df59967efa3214bab8700d59c35586aac9d5f/109_0_3281_1970/500.jpg
04-01-2020,Syria: five children killed in missile strike on displacement camp,Attack by Syrian forces on densely populated area east of Idlib city also left four adults dead,https://www.theguardian.com/world/2020/jan/04/syria-five-children-killed-in-missile-strike-on-displacement-camp,https://media.guim.co.uk/5342513e82668031a9a4c01d9527102bacb43400/0_354_5308_3184/500.jpg
05-01-2020,Doubts grow over US case for Suleimani assassination as Iran urges revenge,Rockets crash close to US embassy compound in Baghdad while huge crowds mourn Iranian general,https://www.theguardian.com/world/2020/jan/04/suleimani-assassination-fears-grow-bloody-reprisal-funeral-baghdad-tehran,https://media.guim.co.uk/62402554d776581ee6012de69ecd9d450c400ec0/0_131_3790_2274/500.jpg
06-01-2020,Maduro accused of parliamentary ‘coup’ after replacing Guaidó as president of assembly,"Troops blocked presidential rival from entering the parliament building in Venezuela’s capital, Caracas",https://www.theguardian.com/world/2020/jan/05/venezuela-nicolas-maduro-parliamentary-coup-juan-guaido,https://media.guim.co.uk/76c0bdaa01cead4a61e40fea1ab9be0f27738d2c/0_30_4500_2700/500.jpg
07-01-2020,New Zealand bushfires flare amid fears country becoming more ‘flammable’,About 70 firefighters battle largest blaze on North Island’s east coast while power outages hit thousands of people on both islands,https://www.theguardian.com/world/2020/jan/07/new-zealand-bushfires-flare-amid-fears-country-becoming-more-flammable,https://media.guim.co.uk/e2a81ba112a5a4addab0810fce8d57fe96da0a04/809_0_4128_2478/500.jpg
08-01-2020,Missiles launched by Iran against US airbases in Iraq,Al-Asad and Erbil bases come under fire after Iranian official describes 13 ‘revenge scenarios’ following Suleimani assassination,https://www.theguardian.com/world/2020/jan/07/trump-iran-suleimani-threats-retaliation,https://media.guim.co.uk/b01f5dd4c60e0c4140f39951c40cecf309a1c04b/60_0_1800_1080/500.jpg
09-01-2020,New Zealand has its fourth-warmest year on record,"100 daily records set around the country in 2019, with experts saying global heating is driving the trend",https://www.theguardian.com/world/2020/jan/09/new-zealand-has-its-fourth-warmest-year-on-record,https://media.guim.co.uk/8235d97ca8dbde262e3a41455e8e903e061b9915/0_236_4937_2963/500.jpg
10-01-2020,New Zealand student death: calls for welfare overhaul after body lay in room for month,"Lack of room checks and shift towards online studies contributed to delay in finding Mason Pendrous, inquiry finds",https://www.theguardian.com/world/2020/jan/10/new-zealand-student-death-calls-for-welfare-overhaul-after-body-lay-in-room-for-month,https://media.guim.co.uk/3c37082f87f18eed6c0a0dd0e9be41df7ce6285d/1307_415_3669_2203/500.jpg
11-01-2020,Pacific nations need much more than Scott Morrison's thanks to survive | Kate Lyons,Governments from across the Pacific have offered support for bushfire relief but are in a tight spot with Australia over the climate crisis ,https://www.theguardian.com/world/2020/jan/11/pacific-nations-need-much-more-than-scott-morrisons-thanks-to-survive,https://media.guim.co.uk/f7deba0e553523af014c075b769b280da47f30e8/0_1284_3456_2074/500.jpg
12-01-2020,Iran's admission of guilt over plane crash sparks unrest in Tehran,Protesters speak out against supreme leader in response to deaths of Iranians in disaster,https://www.theguardian.com/world/2020/jan/11/iran-plane-crash-admission-sparks-unrest-in-tehran,https://media.guim.co.uk/024ad84156496fd1d603996b7097d626d32ff58e/141_16_4947_2968/500.jpg
13-01-2020,"UK still 'generations away' from equality in top jobs, study shows","Women remain vastly underrepresented in positions of power, Fawcett Society says ",https://www.theguardian.com/world/2020/jan/13/uk-still-generations-away-from-equality-in-top-jobs-study-shows,https://media.guim.co.uk/6a154ee140bb6b6e1b95ff15953886544e2bb9f2/736_554_5805_3483/500.jpg
14-01-2020,Pompeo says killing of Suleimani is part of 'bigger strategy' to deter US foes,‘Real deterrence’ strategy – which also apply to Russia and China – is at odds with earlier assertion that general was killed due to imminent threat to US,https://www.theguardian.com/world/2020/jan/14/pompeo-says-killing-of-suleimani-is-part-of-bigger-strategy-to-deter-us-foes,https://media.guim.co.uk/7c0c942853a9be6d1b222e3bd338e8a574ac6a52/0_49_3000_1800/500.jpg
15-01-2020,Businesses that serve Muslim community in Christchurch closing in wake of massacre,One supermarket has shut and another is struggling to stay viable,https://www.theguardian.com/world/2020/jan/15/businesses-that-serve-muslim-community-in-christchurch-closing-in-wake-of-massacre,https://media.guim.co.uk/45292e00c4c52bac6027e10a8ece78b120c63ef0/0_371_5568_3341/500.jpg
16-01-2020,"Weinstein tries to move trial out of New York City, claiming 'deluge' of bad press",Tactic likely to fail but indicative of aggressive approach Weinstein’s defense team taking in sexual crimes trial,https://www.theguardian.com/film/2020/jan/15/harvey-weinstein-trial-new-york-city-move,https://media.guim.co.uk/4fb26552d0b67656a5893f4b570ec690553a7a89/0_234_3500_2100/500.jpg
17-01-2020,US ambassador's moustache gets up South Korea's nose,"Harry Harris has been criticised for his facial hair, which reminds many South Koreans of the days of Japanese colonial rule",https://www.theguardian.com/world/2020/jan/17/us-ambassadors-moustache-gets-up-south-koreas-nose,https://media.guim.co.uk/0e16462ccb4ebad99818075f614e4a34de74e038/0_157_6240_3744/500.jpg
18-01-2020,Coronavirus: more cases and second death reported in China,Experts fear numbers affected may be higher than first thought as US begins screening passengers arriving from Wuhan ,https://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak,https://media.guim.co.uk/d18bfee8535f90ade01c3e41e795d6fcff1666d1/0_5_4029_2417/500.jpg
19-01-2020,Coronavirus: China reports 17 new cases of Sars-like mystery virus,Experts worried about the disease’s spread during lunar new year period of mass travel,https://www.theguardian.com/world/2020/jan/19/coronavirus-china-reports-17-new-cases-of-sars-like-mystery-virus,https://media.guim.co.uk/460fa5bc975bf98df21ed426cf09a88d5cd151a0/0_200_3000_1800/500.jpg
