date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl
01-01-2021,"Cancel New Year's Eve parties as Covid loves a crowd, urge UK officials",Government launches information campaign encouraging people to see in 2021 at home,https://www.theguardian.com/world/2020/dec/31/cancel-new-years-eve-parties-as-covid-loves-a-crowd-urge-uk-officials,https://media.guim.co.uk/09ad4007b1c8af4f8e0e2c9575dcdfc0e0d9a93b/0_111_3500_2101/500.jpg
02-01-2021,Dr Anthony Fauci says US will not delay second doses of Covid vaccine,American infectious disease expert disagrees with UK’s plans to prioritise first doses,https://www.theguardian.com/world/2021/jan/02/dr-anthony-fauci-says-us-will-not-delay-second-doses-of-covid-vaccine,https://media.guim.co.uk/99c86bc20d5c9c8d2f98ce26f06778f205245371/0_65_2816_1690/500.jpg
03-01-2021,Testing of 3D-printed Covid face guards and UV air treatment win Australian funding,"‘This is a rapidly scalable, customised technology that could quickly and feasibly be utilised around the world,’ Greg Hunt says",https://www.theguardian.com/world/2021/jan/03/testing-of-3d-printed-covid-face-guards-and-uv-air-treatment-win-australian-funding,https://media.guim.co.uk/919d7e874e21d5154b3cb9163fbee4a3067791df/0_100_3965_2380/500.jpg
04-01-2021,New Zealand tightens border again amid fears over new Covid variant,Travellers from UK and US now required to test negative before departure and take an extra test on arrival as ‘extra precautionary steps’ ,https://www.theguardian.com/world/2021/jan/04/new-zealand-tightens-border-again-amid-fears-over-new-covid-strain,https://media.guim.co.uk/7604d83c036ea9ee2843d9a6661fd5b89174931d/0_154_4617_2770/500.jpg
05-01-2021,European Medicines Agency 'not ready' to approve Moderna vaccine – as it happened,This blog is now closed. We’ve launched a new blog at the link below: ,https://www.theguardian.com/world/live/2021/jan/04/coronavirus-live-news-us-deaths-pass-350000-as-india-authorises-two-vaccines,https://media.guim.co.uk/ba92e1fe7b45fdd4d10f45693359f30d8c3ef998/0_208_6278_3769/500.jpg
06-01-2021,Life without Covid: the nations that have sidestepped the pandemic so far,"A handful of countries – most of them islands, most of them remote – remain coronavirus-free, but life has not remained wholly unchanged",https://www.theguardian.com/world/2021/jan/06/life-without-covid-the-nations-that-have-sidestepped-the-pandemic-so-far,https://media.guim.co.uk/b1c8ae09f2f77683648cd80c0f72272d1bc34ece/24_0_3767_2262/500.jpg
07-01-2021,"New Zealand's housing market soars, with record prices for second month in a row","Average price hits NZ$788,967, an increase of 2.6% – amid 6.1% growth in 2020’s final quarter",https://www.theguardian.com/world/2021/jan/07/new-zealands-housing-market-soars-with-record-prices-for-second-month-in-a-row,https://media.guim.co.uk/aaa78475114abf0b6ba316752c31a60cfb8dbd5a/0_20_3000_1800/500.jpg
08-01-2021,New Zealand: woman dies after suspected shark attack near Auckland,"Kaelah Marlow, 19, was fatally injured while swimming off Waihi Beach",https://www.theguardian.com/world/2021/jan/08/new-zealand-woman-dies-after-suspected-shark-attack-near-auckland,https://media.guim.co.uk/0c9f88e237c9ecde95c4397701f7d90eb8510862/0_186_1969_1182/500.jpg
09-01-2021,Derbyshire police to review lockdown fines after walkers given £200 penalties,Two friends were ‘surrounded’ officers and each given a fine for driving five miles to a beauty spot,https://www.theguardian.com/uk-news/2021/jan/09/covid-derbyshire-police-to-review-lockdown-fines-after-walkers-given-200-penalties,https://media.guim.co.uk/bf1d3e04b32f6f7792e4f3a38563528cd6047ad0/0_189_5705_3425/500.jpg
10-01-2021,"UK deaths surpass 80,000 after 1,035 recorded - as it happened","Shijiazhuang, Hebei’s capital, on alert; US reports 290,000 cases and 3,676 deaths in 24 hours as Australia changes rules for hotel quarantine",https://www.theguardian.com/world/live/2021/jan/09/us-records-highest-daily-increase-in-cases-brisbane-under-lockdown-as-single-case-reported-in-australia,https://media.guim.co.uk/c040e8dabb0c3517a514e678200ee880605df319/0_355_6647_3990/500.jpg
11-01-2021,Headteachers in England forced to ration on-site lockdown learning,Survey suggests almost 50% of school leaders forced to choose which students have most need,https://www.theguardian.com/world/2021/jan/11/headteachers-in-england-forced-to-ration-on-site-lockdown-learning,https://media.guim.co.uk/8c7c370ec78ef661ee6781b58abbdfd7dcdecb05/544_539_2928_1756/500.jpg
12-01-2021,"New Zealand records seventh-hottest year, with extreme weather more likely","It has been nearly four years since New Zealand experienced a month with below-average temperatures, researchers say",https://www.theguardian.com/world/2021/jan/12/new-zealand-records-seventh-hottest-year-with-extreme-weather-more-likely,https://media.guim.co.uk/d48434da71a91370c98d38213af62efb9633a9b7/0_320_5400_3240/500.jpg
13-01-2021,Ukraine asks EU for vaccine help – as it happened,This blog is now closed. We’ve launched a new blog at the link below: ,https://www.theguardian.com/world/live/2021/jan/12/coronavirus-live-news-who-warns-no-herd-immunity-in-2021-moderna-says-vaccine-immunity-lasts-a-year,https://media.guim.co.uk/68a75b44fff83916006ba8e3ed6e90f0e522450a/0_71_6048_3630/500.jpg
14-01-2021,Labour to educate members on history of Good Friday agreement,Shadow Northern Ireland secretary wants to highlight party’s role in securing peace while in government,https://www.theguardian.com/world/2021/jan/14/labour-to-educate-members-on-history-of-good-friday-agreement,https://media.guim.co.uk/6d85c7dc1e48980652b59d7bf9718d294efb2429/1_78_1130_678/500.jpg
15-01-2021,Immunity passports could be the ticket to help reopen international borders | Anthony Gardiner,"Though questions remain that still need answering, there are encouraging signs that proof of immunity to Covid-19 could help people return to normality",https://www.theguardian.com/world/commentisfree/2021/jan/15/immunity-passports-could-be-the-ticket-to-help-reopen-international-borders,https://media.guim.co.uk/a64287cbb0401dab1493479534118163fb0370c2/0_22_1735_1041/500.jpg
16-01-2021,Global report: coronavirus death toll reaches 2 million,‘Heart-wrenching milestone’ says UN chief; China reports 130 new cases in flare-up; India starts mass vaccination campaign,https://www.theguardian.com/world/2021/jan/15/global-coronavirus-death-toll-reaches-2-million-people,https://media.guim.co.uk/3df6b440570c74fddf401a22340a23f9758fae3c/0_267_4000_2400/500.jpg
17-01-2021,"France's Covid toll passes 70,000 – as it happened",Death toll reaches 2 million people; UK shuts travel corridors and requires negative tests to enter; German vaccine officials forced to guess who is eligible from names,https://www.theguardian.com/world/live/2021/jan/16/coronavirus-live-news-global-death-toll-passes-milestone-as-emirates-cancels-australian-flights-live,https://media.guim.co.uk/4db7324ce2c9ffe26c93aee1281d68775b4edc85/0_153_4601_2760/500.jpg
18-01-2021,Bolsonaro rival hails Covid vaccinations as 'triumph of science against denialists',São Paulo governor João Doria takes aim at Brazil’s president after his state beat federal authorities to secure first coronavirus vaccines,https://www.theguardian.com/world/2021/jan/18/bolsonaro-rival-hails-covid-vaccinations-as-triumph-of-science-against-denialists,https://media.guim.co.uk/1f13cc77b484a78d24e919b7cda91116fcb3b3f3/0_119_2713_1628/500.jpg
