date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl
01-01-2023,Kim Jong-un vows to ‘exponentially’ increase nuclear warhead production,North Korean leader marks New Year with fresh ballistic missile launch just hours into 2023,https://www.theguardian.com/world/2023/jan/01/kim-jong-un-north-korea-exponentially-increase-nuclear-warhead-production,https://media.guim.co.uk/4aeb9f30e7d1d1ae3b9d7b9f817a847adb27c77b/0_233_3500_2101/500.jpg
02-01-2023,Labor flags wastewater tests on inbound planes as mandatory Covid checks for China arrivals resumes,Health minister defends country-specific testing as necessary due to ‘absence of comprehensive information’ on Covid’s spread in China,https://www.theguardian.com/world/2023/jan/02/labor-flags-wastewater-tests-on-inbound-planes-as-mandatory-covid-checks-for-china-arrivals-resumes,https://media.guim.co.uk/cad2cbc8e881787c8941f199301054ffde1f0fd3/0_0_5934_3560/500.jpg
03-01-2023,"Bodies left to decay outside overcrowded Papua New Guinea morgue, footage shows",Uncollected dead stored in shed with no air conditioning despite tropical heat will have to be buried in mass grave,https://www.theguardian.com/world/2023/jan/03/bodies-left-to-decay-outside-overcrowded-papua-new-guinea-morgue-footage-shows,https://media.guim.co.uk/e69b1aad89c3924c29cd95b7b4f0ec200c720bb8/744_958_4804_2882/500.jpg
04-01-2023,China threatens ‘countermeasures’ over other countries’ Covid travel restrictions,US among several countries defending virus tests for China passengers as Beijing threatens to retaliate,https://www.theguardian.com/world/2023/jan/03/china-criticises-other-countries-for-excessive-covid-travel-rules,https://media.guim.co.uk/938362a788d643d228899b44b26df7577c21ee6a/0_169_5438_3263/500.jpg
05-01-2023,Number of populist world leaders at 20-year low,"After Bolsonaro’s defeat and Duterte’s departure, 1.7 billion people are now living under populist rule, report says",https://www.theguardian.com/world/2023/jan/05/number-of-populist-world-leaders-at-20-year-low,https://media.guim.co.uk/c059288a6e1b746e06a4f7c0b245a64c29b48923/0_309_5000_3000/500.jpg
06-01-2023,"Putin ally fighting to control salt and gypsum mines near Ukraine city of Bakhmut, says US",Officials believe Yevgeny Prigozhin – owner of the private military Wagner Group – is vying for natural resources to help fund Russia’s war,https://www.theguardian.com/world/2023/jan/06/putin-ally-fighting-to-control-salt-and-gypsum-mines-near-ukraine-city-of-bakhmut-says-us,https://media.guim.co.uk/dce279360724de16eeec85a2c25152c7b201bb0c/0_168_6000_3600/500.jpg
07-01-2023,Russia-Ukraine war at a glance: what we know on day 318 of the invasion,New $3.75bn US military aid package for Ukraine to include Bradley fighting vehicles for first time; Russian shelling reported despite Moscow’s ceasefire declaration,https://www.theguardian.com/world/2023/jan/07/russia-ukraine-war-at-a-glance-what-we-know-on-day-318-of-the-invasion,https://media.guim.co.uk/be0beb436a0e59bf7e693bee61ee794086304d60/747_0_6632_3983/500.jpg
08-01-2023,Russia-Ukraine war at a glance: what we know on day 319 of the invasion,At least three killed in Russian attacks on Ukraine despite Moscow’s self-declared ceasefire; UK says fighting continued at ‘routine level’ into Orthodox Christmas,https://www.theguardian.com/world/2023/jan/08/russia-ukraine-war-at-a-glance-what-we-know-on-day-319-of-the-invasion,https://media.guim.co.uk/444b042c6e7e03cc2d8099f742127373bd3adaca/0_3_5000_3002/500.jpg
09-01-2023,Brazil congress attack: what we know so far,President Lula denounces ‘fanatical fascists’ and announces federal security intervention after Bolsonaro supporters storm political buildings in capital,https://www.theguardian.com/world/2023/jan/09/brazil-congress-attack-stormed-invasion-jair-bolsonaro-supporters-what-we-know-so-far,https://media.guim.co.uk/3a9e18b6f438c74f6ec0bc54e104119f88834f19/0_374_5616_3370/500.jpg
10-01-2023,Pro-democracy Hong Kong tycoon Jimmy Lai requests Rishi Sunak meeting ,Dual Hong Kong and British citizen is awaiting trial on national security charges that could result in life sentence,https://www.theguardian.com/world/2023/jan/10/hong-kong-tycoon-jimmy-lai-rishi-sunak-meeting-report,https://media.guim.co.uk/2cf1e249cf7d0e0940f4b8ffbd35f957cd22e745/0_255_6000_3600/500.jpg
