artist_image,artist_id,artist_popularity,artist_name,supergenre,genres,primary_genre
https://i.scdn.co/image/ab6761610000e5eb91bc18ece360bee56573115e,6s1SjCXRjeNAa3aRNiYROK,25.0,SHXCXCHCXSH,Techno & Trance,,dub techno
https://i.scdn.co/image/3073ab7e15e6520f5d06c614ca7f7ae9bb542786,0C8DyEeKMAOHPCLck0hwk0,14.0,Architectural,Techno & Trance,,dub techno
https://i.scdn.co/image/ab6761610000e5eb00620d736644d2359ce99430,7MhMgCo0Bl0Kukl93PZbYS,69.0,Blur,Rock,,britpop
https://i.scdn.co/image/ab6761610000e5ebdd24386203ce97cd25e97496,2vJObElaIZWYDLpiXiJMo9,49.0,Cornelius,Pop,,shibuya-kei
https://i.scdn.co/image/ab6761610000e5eb09566cd2ce988a550b7b40e8,47tuSUJMhsa3twW6wgKdIW,69.0,Nursery Rhymes 123,Novelty/Spoken Word,,lullaby
https://i.scdn.co/image/9d01e4e9aac39b891d684d3d1a5b3a451d7c72bd,6P7H3ai06vU1sGvdpBwDmE,69.0,Steely Dan,Rock,,yacht rock
https://i.scdn.co/image/ab6761610000e5ebbdcef92fa9ad2f50587f7b93,37IAmIFuCYtwhxQRlQisDg,30.0,Rezzett,Bass Music,,jungle
https://i.scdn.co/image/ab6761610000e5eb39d046b747ad13d7fbf6f041,4mtHSXwIHihO6MWNq5Qoko,41.0,Squarepusher,Ambient & Experimental Electronic,,idm
https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,3WrFJ7ztbogyGnTHbHJFl2,84.0,The Beatles,Rock,,classic rock
https://i.scdn.co/image/ab6761610000e5eb56f63027b942def9a21d26b3,1zm4Wf8g8vXufWAKhYtZvb,28.0,Martyn Joseph,Folk/Acoustic,,singer-songwriter
https://i.scdn.co/image/ab67616d0000b2732996bfa298c918fe241392f5,1t8gwZFUoJEM9nhSJxT7ks,56.0,Vicky Arlidge,Novelty/Spoken Word,,lullaby
https://i.scdn.co/image/ab6761610000e5eb5c385ecd497969da1e25c5ec,48hZklIMPklae2Mssfp8Cx,24.0,Scuba,Techno & Trance,,dub techno
https://i.scdn.co/image/ab6772690000c46cb6b06ad747c6d92a63f7a511,0HfxCluo7N2dhr4oRM0wBv,33.0,Luke Vibert,Ambient & Experimental Electronic,,idm
https://i.scdn.co/image/ab6761610000e5ebde7d242efba80dccd0066f57,7FEUkVfaBCIk5HQ6176Pnw,17.0,L.B. Dub Corp,Techno & Trance,,dub techno
https://i.scdn.co/image/30431961fe70b3a404c8cb90052cba1783bede91,4erwZm1JybuSPTUg5Bu7nT,23.0,Regis,Techno & Trance,,minimal techno
https://i.scdn.co/image/ab6761610000e5eb71169f759c8806e49153501f,4jfwVcXoNnfnU8xQBlSWn0,29.0,Martin Carthy,Folk/Acoustic,,traditional folk
https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,7Ln80lUS6He07XvHI8qqHH,85.0,Arctic Monkeys,Alternative/Indie,,indie
https://i.scdn.co/image/1e24691a352233bbe989a311d921f17e7892a87e,4F7Q5NV6h5TSwCainz8S5A,59.0,Duke Ellington,Jazz,,jazz
https://i.scdn.co/image/ab6761610000e5eb4104fbd80f1f795728abbd59,4Z8W4fKeB5YxbusRsdQVPb,86.0,Radiohead,Alternative/Indie,,art rock
https://i.scdn.co/image/ab6761610000e5eb032d8d3f06bc8d200f4c5eb2,7kWwQAe9JnYNMk4kuEe73S,39.0,The Cactus Blossoms,Country/Americana,,americana
https://i.scdn.co/image/ab6761610000e5eb3cfb09a7764e1ad77e323c18,3iJJD5v7oIFUevW4N5w5cj,46.0,Arthur Russell,Pop,,art pop
https://i.scdn.co/image/ab67616d0000b273b165e01b90417f18fd7cecba,3H24Sx4OTtMrkpQlcpGLtu,23.0,Hexstatic,Ambient & Experimental Electronic,,trip hop
https://i.scdn.co/image/ab6761610000e5ebf12209577c38ece10694c454,7wDfZhaCORLgP3K62R3MJK,38.0,Mark Pritchard,Ambient & Experimental Electronic,,idm
https://i.scdn.co/image/ab6761610000e5eb9cd1336e9c6eb382444c0aa2,5ztBFCBEL7OtjdAt98RnD4,34.0,Fat White Family,Rock,,space rock
https://i.scdn.co/image/ab6761610000e5ebadcb7ec1c8731dd53d06323b,46Ce0QmI1mE2bl5VQ4P9N8,37.0,Lapalux,Ambient & Experimental Electronic,,idm
https://i.scdn.co/image/ab6761610000e5ebaa3c91d792eb520a5d58daa5,6kBDZFXuLrZgHnvmPu9NsG,66.0,Aphex Twin,Ambient & Experimental Electronic,,idm
https://i.scdn.co/image/ab6761610000e5eb888dd74cbfd6fbadc55468db,2eRdPaLHWAL4d1WcNUO9Vz,41.0,The Modern Lovers,Punk/Hardcore,,proto-punk
https://i.scdn.co/image/ab6772690000c46cd80104a844665f292c1c0eb4,33HLOae9rhJfw6Mh0e8g5r,22.0,Girls Against Boys,Alternative/Indie,,noise rock
https://i.scdn.co/image/d0f9136003814386988d37964be13b1da0b1c6e1,530Sdm7eqqzWBdDmILMgnu,57.0,Robert Palmer,Rock,,yacht rock
https://i.scdn.co/image/ab6761610000e5eb6b833f493e2da9f6eb7df476,0cyEKEh8fQkksmpwLBlZV4,44.0,The Fisherman’s Friends,Folk/Acoustic,,sea shanties
https://i.scdn.co/image/2508955aebc5043d449a2f33927e00824f3af7a1,5ahuBhk9Urv0iYLrNSbPRK,9.0,Grischa Lichtenberger,Ambient & Experimental Electronic,,idm
https://i.scdn.co/image/ab6761610000e5eb2f193c74ab4203899bc8771a,08F3Y3SctIlsOEmKd6dnH8,69.0,Yusuf / Cat Stevens,Folk/Acoustic,,folk rock
https://i.scdn.co/image/ab6761610000e5eb7d2e812e63d6df77ee087b47,4EVpmkEwrLYEg6jIsiPMIb,64.0,Fleet Foxes,Folk/Acoustic,,indie folk
https://i.scdn.co/image/ab6761610000e5ebce087a46152d40b1049e0238,37YzpfBeFju8QRZ3g0Ha1Q,51.0,DJ Seinfeld,House & EDM,,lo-fi house
https://i.scdn.co/image/d364b498f85ae764cd278fbba9a8ed7f00c3e434,5c3GLXai8YOMid29ZEuR9y,62.0,Nick Drake,Folk/Acoustic,,folk
https://i.scdn.co/image/a8f47addcc6d9b7c3d95346ca26146737f104e39,5E3H2KyR31E2Dj3K6vIUe9,22.0,Vladislav Delay,Techno & Trance,,dub techno
https://i.scdn.co/image/ab6761610000e5eb9122ffb7f5927600efb4e5a7,68i1l0GWQ5dwzAy1UVNHNw,22.0,Martyn,Bass Music,,uk funky
https://i.scdn.co/image/ab6761610000e5ebab1e305a3a59fe4c918828c6,1R84VlXnFFULOsWWV8IrCQ,57.0,Panda Bear,Rock,,neo-psychedelic
https://i.scdn.co/image/ab6761610000e5ebf08fcb657b41c021f46ce4a9,0VeQgI9lzgoOMszAOq0iml,26.0,Richard Dawson,Alternative/Indie,,art rock
https://i.scdn.co/image/ab67616d0000b27372bf04c352abad42affa2f3b,5aAjDF4uS2ft9fy9vjXWYv,26.0,Wax,Techno & Trance,,dub techno
https://i.scdn.co/image/ab6761610000e5eb0dd34ec8f956be0904d8717f,5MGxwE9JG5IA6uqswrgNL6,32.0,Beak>,Alternative/Indie,,krautrock
https://i.scdn.co/image/ab6761610000e5eb8adaa3bb54439327dbdde765,7Fo8TAyGJr4VmhE68QamMf,59.0,Talk Talk,Pop,,new wave
https://i.scdn.co/image/62116e668f48de61dfaa9d12e63e31876197a18e,3XHvzfKFZkSXEUiZE4WrIz,37.0,Michael Hurley,Folk/Acoustic,,anti-folk
https://i.scdn.co/image/ab6761610000e5ebce4d5d32d9cea72f886ddf88,6XYvaoDGE0VmRt83Jss9Sn,33.0,King Gizzard & The Lizard Wizard,Rock,,neo-psychedelic
https://i.scdn.co/image/ab6761610000e5eb4679f0c1c8f862730c0b5109,7x83XhcMbOTl1UdYsPTuZM,58.0,Tom Waits,Folk/Acoustic,,singer-songwriter
