artist_id,artist_name,artist_popularity,artist_image,primary_genre,supergenre
4uq3HY9rto71MxVGVCZm8G,Architechs,41,https://i.scdn.co/image/ab6761610000e5eb200b09db737a770ff9429384,uk garage,Garage & Breaks
3x3wGSv3Xm8xtgXNe6hq99,burger/ink,28,https://i.scdn.co/image/ab67616d0000b27358ad46d9abb68bbac2f1c800,dub techno,Techno & Trance
4jZOiPysIzYxbDcDEOZmhu,Ramsey Lewis Trio,37,https://i.scdn.co/image/ab67616d0000b273d75eb9e0773d555e3f2cfe42,soul jazz,Jazz
2K35x6Uen65Ivms3NjwV77,Priku,23,https://i.scdn.co/image/ab6761610000e5eb65a1fa564cce55aaf127c13c,minimalism,Classical/Orchestral
4Pmdt8qJTYHaSnkdY4dnIe,Jay Haze,28,,minimal techno,Techno & Trance
79hrYiudVcFyyxyJW0ipTy,The Paper Kites,70,https://i.scdn.co/image/ab6761610000e5eb7b96a71c133ebf861311b7d3,indie folk,Folk/Acoustic
1buRQJUaOGTgp36hBMda6y,KERO,32,https://i.scdn.co/image/ab6761610000e5ebb1609c1ba10c54b13b781785,melodic bass,Unlisted
1eTZGzLkukATM7FoGltyFs,Elizabeth Cotten,38,https://i.scdn.co/image/ab6761610000e5eb6dcca405e2e5b458ad876b1a,country blues,Blues
0vUJ3QLN3MlRfjOc2LjGWp,Inner City,53,https://i.scdn.co/image/ab6761610000e5eb9a0ea901138f29d29fdae3fc,acid house,House & EDM
5yzE49FicYiSxN61oaxkNn,Judy Collins,49,https://i.scdn.co/image/ab6761610000e5eb356fa735d337f20cdbef7814,folk,Folk/Acoustic
30niqFGUKKUg1horQSgwBn,Blippi,66,https://i.scdn.co/image/ab6761610000e5eb546bc71664966bddf8caf6b7,children's music,Novelty/Spoken Word
1h0hOL3bVcYlg4xcSjU7fP,Otis Rush,43,https://i.scdn.co/image/081881764ea085a0c228fae3fa95845e35fc6a0b,blues,Blues
