track_id,track_name,track_popularity,explicit,artist_name,album_name,release_date,user_id
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),73,False,Taylor Swift,1989 (Taylor's Version),2023-10-26,1e2e44dad56e626f
1rZsn9K890Goymfl7YIdgY,Mermaids,51,True,Florence + The Machine,Dance Fever (Complete Edition),2023-04-21,1e2e44dad56e626f
6PkxSIt2TYLMFa8ybyngVP,Eat Your Young,53,False,Hozier,Eat Your Young,2023-03-17,1e2e44dad56e626f
5P2bHCDM2tsgIaYWsZMhu5,my tears ricochet,66,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
0mflMxspEfB0VbI1kyLiAv,Stick Season,84,False,Noah Kahan,Stick Season,2022-10-14,1e2e44dad56e626f
5Z2MiIZ5I3jJvvmeWMLbOQ,Escapism.,6,True,RAYE,Escapism. / The Thrill Is Gone.,2022-10-12,1e2e44dad56e626f
0KRYCBwIpWYFNrXOmXbyUh,cardigan,69,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
2olxzvoFI9IpxqFeUv7WOX,the last great american dynasty,65,True,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
5S4aYQAJOwJMAamANWlICO,exile (feat. Bon Iver),68,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
1SCXzqKZdif5b33POmzwI4,Angel Of Small Death & The Codeine Scene,63,False,Hozier,Hozier,2014-09-19,1e2e44dad56e626f
5lJ1NMNz6ymwdaL9aejm8e,Family and Genus,0,False,Shakey Graves,And The War Came,2014-07-10,1e2e44dad56e626f
24Sm58vwU5vYGxzAmJ3xrr,Hale Man Khoob Nist,33,False,Dayan,Hale Man Khoob Nist,2013-01-21,1e2e44dad56e626f
1LvU6IFqQnXOIwJyBDb2io,She Calls Me Back,67,True,Noah Kahan,Stick Season,2022-10-14,1e2e44dad56e626f
5wxYxygyHpbgv0EXZuqb9V,on the street (with J. Cole),62,True,j-hope,on the street (with J. Cole),2023-03-03,1e2e44dad56e626f
4pfrrhvplbJZAIsfosGWQP,the 1,67,True,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
3Xsbe8UYG4E5tnhUugG5Ye,Harfe Mardom,23,False,Dayan,Harfe Mardom,2013-08-07,1e2e44dad56e626f
696U7cOPm6L2uYgm7G8fGG,Hallelujah,30,False,Reuben And The Dark,Arms Of A Dream,2018-05-04,1e2e44dad56e626f
1HCdems7PQZRj42QDWLA0A,Timeless (Taylor’s Version) (From The Vault),66,False,Taylor Swift,Speak Now (Taylor's Version),2023-07-07,1e2e44dad56e626f
73ZWAySu4UX5LkpCM6zjYh,CHRONICALLY CAUTIOUS,50,False,Braden Bales,CHRONICALLY CAUTIOUS,2023-02-24,1e2e44dad56e626f
0MMyJUC3WNnFS1lit5pTjk,"jealousy, jealousy",80,False,Olivia Rodrigo,SOUR,2021-05-21,1e2e44dad56e626f
6nK2pIKFcRc5frrZKHgsiT,august,66,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
1EXa37LpSvi3OQ9UYQ28rD,epiphany,61,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
5gFoAVTN9YlM9uJCrFZtgl,Crooked Smile (feat. TLC),67,True,J. Cole,Born Sinner (Deluxe Version),2013-06-18,1e2e44dad56e626f
2wAJTrFhCnQyNSD3oUgTZO,Work Out,80,True,J. Cole,Cole World: The Sideline Story,2011-09-27,1e2e44dad56e626f
1gcyHQpBQ1lfXGdhZmWrHP,champagne problems,67,True,Taylor Swift,evermore (deluxe version),2021-01-07,1e2e44dad56e626f
6IG3sQ8s9nfk6TUlVzRhbN,Is It Over Now? (Taylor's Version) (From The Vault),64,False,Taylor Swift,1989 (Taylor's Version) [Deluxe],2023-10-27,1e2e44dad56e626f
7cm50Lw03k6VvRauJtkyTj,this is me trying,65,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
2O1vTF3y8Jq1XSrgSto6YL,New York Times (feat. 50 Cent & Bas),50,True,J. Cole,Born Sinner (Deluxe Version),2013-06-18,1e2e44dad56e626f
2WazybrAdTHvtwcfCAIlVj,watch,56,False,Billie Eilish,dont smile at me (Expanded Edition),2017-08-11,1e2e44dad56e626f
2I8YAEA1VmCuP1wkJHMpTw,mirrorball,65,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
3IhtE4fkytdrtEfV34UzkD,betty,63,True,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
2ehRU518I0hYqMGQnk4lDY,invisible string,64,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
3EGW6TGGbdk6Ys1Y3HU3lj,Training Wheels,67,True,Melanie Martinez,Cry Baby (Deluxe Edition),2015-08-14,1e2e44dad56e626f
0caJ2wkqp4UmXBwdR2JvB5,Dial Drunk,68,True,Noah Kahan,Stick Season (We'll All Be Here Forever),2023-06-09,1e2e44dad56e626f
01zjzsmCRsvCEAE0hlWuC6,You Put A Spell On Me,0,False,Austin Giorgio,You Put A Spell On Me,2023-02-10,1e2e44dad56e626f
35PKfoynRpVFoAUE3D5Kc6,Work Song,75,False,Hozier,Hozier,2014-09-19,1e2e44dad56e626f
76mOLcXOjOEhyY4mMF1l3r,seven,64,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
2wsBhAFs6Cxk9AGngVpYOK,Miss America,46,True,J. Cole,Born Sinner (Deluxe Version),2013-06-18,1e2e44dad56e626f
2aMHA0kCzCKDiRTNEe4NJc,Breakdown,47,True,J. Cole,Cole World: The Sideline Story,2011-09-27,1e2e44dad56e626f
7nDFTHHwfe32a8qdp9XqPy,False Confidence,74,True,Noah Kahan,Busyhead,2019-06-14,1e2e44dad56e626f
0RP1kqoSPkVXsKiQNhMKzV,mad woman,62,True,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
1ZgMsA55GIY7ICkQh5MILA,Space Song,75,False,Beach House,Depression Cherry,2015-08-28,1e2e44dad56e626f
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,88,False,The Killers,Hot Fuss,2004,1e2e44dad56e626f
0UJAH9v2PmS7sBcuBquprR,Oxytocin,62,False,Billie Eilish,Happier Than Ever,2021-07-30,1e2e44dad56e626f
0aV5uARAknQgYhBaK944FP,"Would've, Could've, Should've",65,False,Taylor Swift,Midnights (3am Edition),2022-10-22,1e2e44dad56e626f
6DrLROM5MG9bxWHeEG5elq,illicit affairs,64,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
3xYJScVfxByb61dYHTwiby,Hits Different,72,True,Taylor Swift,Midnights (The Til Dawn Edition),2023-05-26,1e2e44dad56e626f
3PVBgrzT0nVS1VzJ3MoSXP,Cocaine Jesus,0,True,Rainbow Kitten Surprise,RKS,2015-04-25,1e2e44dad56e626f
2lSyPI9VHK06g1yxbtwMXq,Never Told,44,True,J. Cole,Cole World: The Sideline Story,2011-09-27,1e2e44dad56e626f
0NlGoUyOJSuSHmngoibVAs,All I Want,79,False,Kodaline,In A Perfect World (Expanded Edition),2013-06-17,1e2e44dad56e626f
6JlI8Ay77m4nJvZTHvfT1J,peace,62,True,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
3k79jB4aGmMDUQzEwa46Rz,vampire,6,True,Olivia Rodrigo,vampire,2023-06-30,1e2e44dad56e626f
5pIn0ZiclQOMzoFUlgDY0f,Sideline Story,60,True,J. Cole,Cole World: The Sideline Story,2011-09-27,1e2e44dad56e626f
6gwGGYK2LhiKKJUcgLjQcp,Hard Out Here.,0,True,RAYE,Escapism. / The Thrill Is Gone.,2022-10-12,1e2e44dad56e626f
2I07Lbee7UvoAdlTAl37AM,Medicine,65,False,Daughter,The Wild Youth EP,2011-11-21,1e2e44dad56e626f
0YeDG5HnKnG7jpArkzsSPa,hoax,61,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
27Jko74ZSVY1kwt0vMY6Pu,opposite,68,False,Sabrina Carpenter,emails i can’t send fwd:,2023-03-17,1e2e44dad56e626f
5ld8E3DVBXCCWQ54yrkWVp,305,55,False,Shawn Mendes,Wonder,2020-12-04,1e2e44dad56e626f
3guDGLhRp45ZzWDP6nGKDL,Moment's Silence (Common Tongue),39,False,Hozier,Nina Cried Power - EP,2018-09-06,1e2e44dad56e626f
3zwMVvkBe2qIKDObWgXw4N,right where you left me - bonus track,77,False,Taylor Swift,evermore (deluxe version),2021-01-07,1e2e44dad56e626f
2Xcvt8NRLw0xbB3ClfW8MI,Temporary Fix,61,False,One Direction,Made In The A.M. (Deluxe Edition),2015-11-13,1e2e44dad56e626f
3Z9h3iuvJ2cDUDXTDeAEgj,Achilles Come Down,40,True,Gang of Youths,Go Farther in Lightness,2017-10-13,1e2e44dad56e626f
3dYD57lRAUcMHufyqn9GcI,Take Me To Church,82,False,Hozier,Hozier,2014-09-19,1e2e44dad56e626f
0eFQWVz0qIxDOvhLpZ40P7,the lakes - bonus track,65,False,Taylor Swift,folklore (deluxe version),2020-08-18,1e2e44dad56e626f
3jQyadhLTxpxadQlkFh2b8,Heartbeats,66,False,José González,Veneer,2003,1e2e44dad56e626f
2uwnP6tZVVmTovzX5ELooy,Power Trip (feat. Miguel),79,True,J. Cole,Born Sinner (Deluxe Version),2013-06-18,1e2e44dad56e626f
57j65yC2HggQfmYNc6rdOK,bad idea!,72,True,girl in red,bad idea!,2019-09-03,1e2e44dad56e626f
1Yl4UBgyoHPgyne7rEsFZp,Dollar And A Dream III,50,True,J. Cole,Cole World: The Sideline Story,2011-09-27,1e2e44dad56e626f
0Fs9cdPDhptWEDJmiCbkEW,She Knows (feat. Amber Coffman & Cults),73,True,J. Cole,Born Sinner (Deluxe Version),2013-06-18,1e2e44dad56e626f
1odExI7RdWc4BT515LTAwj,Daylight,19,False,David Kushner,Daylight,2023-04-14,1e2e44dad56e626f
6sZv0ECT8cEW3oZtoCuVg4,Lights Please,61,True,J. Cole,Cole World: The Sideline Story,2011-09-27,1e2e44dad56e626f
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,83,False,Taylor Swift,reputation,2017-11-10,1e2e44dad56e626f
6C7OF1Jal7YkyjzyUG8vkK,Question...?,57,True,Taylor Swift,Midnights (3am Edition),2022-10-22,1e2e44dad56e626f
6Nl7KyvjkFncGsjB49SxLl,Midnight Rain,60,False,Taylor Swift,Midnights (3am Edition),2022-10-22,1e2e44dad56e626f
6QIZUbPbMqbDUORTuZtxsV,My Heart's Grave,49,False,Faouzia,My Heart's Grave,2017-09-15,1e2e44dad56e626f
3l6LBCOL9nPsSY29TUY2VE,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),61,True,Halsey,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2023-06-05,1e2e44dad56e626f
2CYVETnhM9aytqrazYYwrK,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),69,False,Taylor Swift,Fearless (Taylor's Version),2021-04-09,1e2e44dad56e626f
1Ojz92vyPK4fJ5K8RVnV5u,"The Four Seasons: Concerto No. 2 in G Minor, RV 315 ""L'estate"" (summer): III. Presto",63,False,Antonio Vivaldi,Vivaldi: The Four Seasons • Concertos for Bassoon & Violin 'in tromba marina',2015-09-04,1e2e44dad56e626f
1QQii3pa5m8MEda0nbkjfw,Mastermind,62,False,Taylor Swift,Midnights (The Til Dawn Edition),2023-05-26,1e2e44dad56e626f
1BncfTJAWxrsxyT9culBrj,Experience,77,False,Ludovico Einaudi,In A Time Lapse,2013-01-01,1e2e44dad56e626f
41WQUSINanQHfhfKpFDsms,Used To Be Young,69,False,Miley Cyrus,Endless Summer Vacation,2023-08-18,1e2e44dad56e626f
0YT1UVqGD6wAWaTVRo0bGY,Religion,40,False,Isak Danielson,Remember To Remember Me,2020-04-17,1e2e44dad56e626f
0bmcOTo6qQAtKIHhMbMWvV,That Girl,0,True,Emei,That Girl,2022-07-13,1e2e44dad56e626f
3CCRVu4F91Qp2mnGjmWBrf,Say Don't Go (Taylor's Version) (From The Vault),62,False,Taylor Swift,1989 (Taylor's Version) [Deluxe],2023-10-27,1e2e44dad56e626f
3q8iHOd2icirSipnkE7fae,Light Of Love,46,True,Florence + The Machine,Light Of Love,2020-04-17,1e2e44dad56e626f
1M7qLcfozANPcMKfgMEHOt,Never Be Me,56,False,Miley Cyrus,Plastic Hearts,2020-11-27,1e2e44dad56e626f
3BvdyscylBbOhf0TL2S0yH,Turn It Off,50,False,Scott Barnhardt,The Book Of Mormon (Original Broadway Cast Recording),2011-05-17,1e2e44dad56e626f
3zXIvb4nZ3cTdT8CsbTy3U,I'm Just Ken,59,False,Ryan Gosling,Barbie The Album,2023-07-21,1e2e44dad56e626f
5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey),80,True,G-Eazy,The Beautiful & Damned,2017-12-15,1e2e44dad56e626f
0L3oQdYUvVbsOOPJSkZ3C3,Would That I,70,False,Hozier,"Wasteland, Baby!",2019-03-01,1e2e44dad56e626f
7gwo88n3Asm5Kg7UTdWeF5,Warrior of the Mind,0,False,Jorge Rivera-Herrans,EPIC: The Troy Saga (Original Concept Album),2022-12-25,1e2e44dad56e626f
0VE4kBnHJUgtMf0dy6DRmW,Getaway Car,80,False,Taylor Swift,reputation,2017-11-10,1e2e44dad56e626f
20M00steJbkD9bCIUCuHPI,golden retriever boy,41,True,KiNG MALA,golden retriever boy,2021-10-28,1e2e44dad56e626f
1wTopxO5eQBpxrBXPSbsUn,A&W,0,True,Lana Del Rey,A&W,2023-02-14,1e2e44dad56e626f
534P1wgOzlgSogu8At0B6b,I've Had Enough,57,True,Melina KB,I've Had Enough,2021-03-12,1e2e44dad56e626f
7pSiVCrdIbpIvn8oNH3XPY,Linea Degli Alberi,36,False,Giulia De Serio,Linea Degli Alberi,2021-07-29,1e2e44dad56e626f
3DgxdsUHAvQgWPdPij6IVw,Angry Too,0,True,Lola Blanc,Angry Too,2019-04-30,1e2e44dad56e626f
38RLObegC9ggpKPRVQDc1g,AMERICAN HORROR SHOW,61,True,Snow Wife,AMERICAN HORROR SHOW,2023-06-23,1e2e44dad56e626f
6INztpNwOTlfSKTuPo0HOP,The Alcott (feat. Taylor Swift),66,False,The National,First Two Pages of Frankenstein,2023-04-28,1e2e44dad56e626f
4sRoiXZBLpiRIklm2wy0WZ,Happier Than Ever,56,True,Kelly Clarkson,Happier Than Ever,2022-05-25,1e2e44dad56e626f
73W5aXorr5vxrySFcoZqIN,Renegade,67,True,Big Red Machine,How Long Do You Think It's Gonna Last?,2021-08-27,1e2e44dad56e626f
