album_id,album_name,artist_name,release_date,album_artwork
5AgsHUKFxr5DApRCmulIqJ,The Hamilton Mixtape,Lin-Manuel Miranda,2016-12-02,https://i.scdn.co/image/ab67616d0000b2731025ac991316d6cbac978373
6SisHkIpxo4JN5kRcBEv9Z,Come From Away (Original Broadway Cast Recording),‘Come From Away’ Original Broadway Cast,2017-03-10,https://i.scdn.co/image/ab67616d0000b27381d6b22bcf4d55fea85a2b59
1CuCITWTEr6lE2q3MraOSG,No Wahala (Remix),1da Banton,2022-03-02,https://i.scdn.co/image/ab67616d0000b2731855dea03418a6c0c623b229
66PA49HFV9YsfQjUYv3xML,Based On A T.R.U. Story (Deluxe),2 Chainz,2012-01-01,https://i.scdn.co/image/ab67616d0000b2732a0e6aff34e828392e1df7d0
3in5Gg4EZAMEfllRSrtcCC,The Hate U Give (Original Motion Picture Soundtrack),Various Artists,2018-10-12,https://i.scdn.co/image/ab67616d0000b2730bffddcd4c83baab8303c44d
2D0Hi3Jj6RFnpWDcSa0Otu,Youngblood (Deluxe),5 Seconds of Summer,2018-06-15,https://i.scdn.co/image/ab67616d0000b27341aa6776dc15fbd71a2b4557
31QCnHMnS7Cb4UdJkubgrr,"The Music of Grand Theft Auto V, Vol. 1: Original Music",Various Artists,2013-09-24,https://i.scdn.co/image/ab67616d0000b273707fe4c159f0384c613dc4d2
4v0IxMbMN975IfxFHzgK9d,Artist 2.0 (Deluxe),A Boogie Wit da Hoodie,2020-06-19,https://i.scdn.co/image/ab67616d0000b2734ec868f10b6379bcb83e855a
5fPCpGOBFSbLnOlApkzJcn,Latest Trends (feat. Aitch) [Remix],A1 x J1,2021-03-11,https://i.scdn.co/image/ab67616d0000b273c419250e2757242405fbbf66
1ZVourNSOich8buZk5ILdZ,Gracias Por La Musica (Deluxe Edition),ABBA,,https://i.scdn.co/image/ab67616d0000b27331a7db5370134479f43b43e8
6YMSXPIHkA2jPIlFHuejXW,All My Demons Greeting Me As A Friend (Deluxe),AURORA,2016-03-11,https://i.scdn.co/image/ab67616d0000b273c379325088c2845fe85cd70a
1pVtxVKXwhU2nsvrTI1WqT,Ring Ring (Deluxe Edition),ABBA,,https://i.scdn.co/image/ab67616d0000b2735ca4eeb638139fd840250b9e
5GByGaws7Cw0t28kjvAOzV,The Visitors (Deluxe Edition),ABBA,,https://i.scdn.co/image/ab67616d0000b27342678f54dfd1d5afb3eea19a
2nZmJPlEBwQYyVqN46GoHP,I Went Too Far (MK Remix),AURORA,2016-07-15,https://i.scdn.co/image/ab67616d0000b273b8e42f8099485a0bc0c61993
464vAu1FKEfnZMnixyf8IF,TikTok Classics - memes & viral hits,Various Artists,2022-08-12,https://i.scdn.co/image/ab67616d0000b273514661fa84a18b7afd92acdc
5lExQTV6ELzqRgwsqahZoh,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Jatin-Lalit,2001-11-28,https://i.scdn.co/image/ab67616d0000b273941eb533e845e5c2299570b9
6XVCLtMjubQa0VHm9UHsXN,WolfWalkers (Original Motion Picture Soundtrack),Bruno Coulais,2020-12-14,https://i.scdn.co/image/ab67616d0000b2733072806c7800b81643d39255
20exLke5P8o4D1Bj4iRcPf,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),Les Misérables Cast,2013-01-01,https://i.scdn.co/image/ab67616d0000b273170e79548d280867ef12742b
1nr8LxzUvc6iQsG2bFK8Rd,On Deck,Abracadabra,2020-07-16,https://i.scdn.co/image/ab67616d0000b273c0271177bb4e93fe1f16d58e
50XlvF8lx8QuSHY2T41s0J,Slow Dancing (Acoustic),Adam French,2019-07-12,https://i.scdn.co/image/ab67616d0000b273657279017faa5b078c770ee3
5JQDk8mkZLab7RUCe2x0Qv,Joanna (Drogba) [Remix],Afro B,2019-06-25,https://i.scdn.co/image/ab67616d0000b2735f9e867f1cb29492024c50aa
5AbETCauXczRy4uQlhZpxH,اغانی الافلام,Various Artists,2019-03-01,https://i.scdn.co/image/ab67616d0000b273974adf6b12e26b12071bc358
5x2eTJrbEvmOTEcWWWubLy,Ra-One,Vishal-Shekhar,2011-09-16,https://i.scdn.co/image/ab67616d0000b27344aa56e23e3a89802e6c6347
1l0aFrH24oPrQSqGtfeFyE,Tangled,Various Artists,2010-01-01,https://i.scdn.co/image/ab67616d0000b273597905f8f46dfc60f5a6d11f
1rxMCeSrBGC5qf9di9gOJ6,The Pirate's Gospel (Deluxe Edition),Alela Diane,2018-10-26,https://i.scdn.co/image/ab67616d0000b273dbc9a5d6cbf3be41dbf6393d
31UTQAB8bn1Dnh5neePui8,Break Up Songs,Various Artists,2021-02-05,https://i.scdn.co/image/ab67616d0000b2733ee7a4de543e3575dd58d4b4
3Nkueud4hqLWhSzOepKi7p,Beetlejuice (Original Broadway Cast Recording),Eddie Perfect,2019-06-07,https://i.scdn.co/image/ab67616d0000b273bfd1c78f2f4e462e5048491a
2MV7PrKdCcislKUAPMyEA2,IDK You Yet (Live on Piano),Alexander 23,2020-06-23,https://i.scdn.co/image/ab67616d0000b273fe03064db12346c962cd0c56
47U0dkAKLqJ1Y13cTpiznw,Khoone Khorshid,Bahram,2024-11-11,https://i.scdn.co/image/ab67616d0000b27341532070d320877402072160
0mOR1HD66Abbau9K0xGLuw,Istanbul Junction (Chahar Rahe Istanbul),Alireza Ghorbani,2018-02-02,https://i.scdn.co/image/ab67616d0000b2737ce048c70a737d925c98a888
