album_id,artist_name,release_date,album_artwork,album_name
002H8sA77XFikjH4kbPaph,Robbie Williams,2016-11-04,https://i.scdn.co/image/ab67616d0000b2730f7ea7d45b75a3dabac59140,The Heavy Entertainment Show (Deluxe)
002PzTSGlKXV06ZhzwlHSV,Wantons,2021-02-20,https://i.scdn.co/image/ab67616d0000b2736fe06e79da001f07f890e1aa,Haminim Ke Hastim
003VewB37v1OnUJGpLq6Wv,Various Artists,2016-10-22,https://i.scdn.co/image/ab67616d0000b2736ca2fac33b28153d9c043c27,"All Good Records: Freshly Baked, Vol. 01"
005i4RP0388f6wX14YDbZ3,Unstable,2024-12-30,https://i.scdn.co/image/ab67616d0000b27329421a686879389b42be0388,Square Thoughts
006BXWFpgckHlmMvpeQKqI,Stan Getz,1997-10-01,https://i.scdn.co/image/ab67616d0000b27396f627003a95bfa34a16504b,Sony Jazz Collection
006fEVu63b1nSxinsXZgAt,Jennifer Lopez,2020-09-24,https://i.scdn.co/image/ab67616d0000b2733ae627b449ba2d07c521257d,Pa Ti + Lonely
006lcN1Ts0A5KzphrNTga9,Rafa Vigoy,2019-10-14,https://i.scdn.co/image/ab67616d0000b273455e199ebbe5afb90dd6c911,Dilemom
007DWn799UWvfY1wwZeENR,21 Savage,2018-12-21,https://i.scdn.co/image/ab67616d0000b273280689ecc5e4b2038bb5e4bd,i am > i was
007wB6boG1GIYhns3v95NL,Various Artists,2013-10-29,https://i.scdn.co/image/ab67616d0000b27396fdbe5d0704388eb64cb032,The Darkest Pieces of Jazz
009EjjwUjtdjvH7UP0wHzi,The Smile,2022-05-13,https://i.scdn.co/image/ab67616d0000b273423ac018d0ec2301e40948a0,A Light for Attracting Attention
009Rfs9urNO7gmuxYWkrWf,Geeder,2020-12-11,https://i.scdn.co/image/ab67616d0000b273273387f1b2044d6a138a5beb,Before You Leave
009tqmZw85Qf26eEfo2PUR,Cleric,2016-04-27,https://i.scdn.co/image/ab67616d0000b273b6b45061f1c159ea2ff64e5f,Voices of Control EP
00ApSLbCmqWlXfyrN5Uoda,AC Slater,,https://i.scdn.co/image/ab67616d0000b273f08fba2b6d91d8a7543a7971,My Peoples
00CWm6bIWR4gm53dmAgD4D,Daisy Gray,2018-03-23,https://i.scdn.co/image/ab67616d0000b273ee7641da47868c0ec8f75496,Saviour
00Cx9aez5TDCItSl2Sv4zc,Au5,2019-05-24,https://i.scdn.co/image/ab67616d0000b273d5503857a6bc67a6a703ce1d,Divinorum
00EK6TRKUh4NqZNJ1shjRo,Johny Luv,2023-10-06,https://i.scdn.co/image/ab67616d0000b273e8190959c7627404e6f98b91,Dry Bar
00EiQjifmFTLcEazkCM7Rl,Marcin Przybyłowicz,2015-10-13,https://i.scdn.co/image/ab67616d0000b27326a3ebdb4e994b45773488ed,The Witcher 3: Wild Hunt - Hearts Of Stone (Original Game Soundtrack)
00FTVjrEvAKHGlHSL9UU6w,The Koobas,,https://i.scdn.co/image/ab67616d0000b273498a8c53a7cf60b228708d8b,Koobas
00GKYTcoOE8YZ7KqVngw48,iasilma,2022-09-02,https://i.scdn.co/image/ab67616d0000b273cc62deb984f9979fe7be221f,Engines
00GMnZ71KyvmEnZfqcsFP4,ABBA,2014-01-01,https://i.scdn.co/image/ab67616d0000b2735893ae3de02b83786469af35,Abba Gold Anniversary Edition
00HZxSA1sOS9T3nA950sg4,Drake,2019-06-15,https://i.scdn.co/image/ab67616d0000b2733f3b653b0a7b9e889a712c3d,The Best In The World Pack
00IPpzD5bAX0vtU6GG3tYz,The Mary Wallopers,2019-07-06,https://i.scdn.co/image/ab67616d0000b273866eebcbaa0465ba5d9838f2,A Mouthful of The Mary Wallopers
00MHMxmwPIYmAmErAFpg6w,Merlin Loughty,2023-06-08,https://i.scdn.co/image/ab67616d0000b273641f9c10e05d75e36b8ff147,Quietude
00MudAJNGTxCUkQrtRz2hY,Buffalo Springfield,,https://i.scdn.co/image/ab67616d0000b2730123cb16045fb48bf5e408ab,Last Time Around
00NU9JjK7J3YSYhDzfuzrb,Re-Logic,2011-11-01,https://i.scdn.co/image/ab67616d0000b27379a9be8af1193f50b28f7a54,Terraria (Soundtrack)
00OWQWMOttbTKrONmE9ZOe,Snow Bone,2014-09-24,https://i.scdn.co/image/ab67616d0000b27379a0ae990d3c99b5fb82ca56,Mystic Vision
00P3tI6puyH6NRmTaPIptz,Soulwax,2005-09-19,https://i.scdn.co/image/ab67616d0000b273c9f21b6f624e55c3b426dcce,Nite Versions
00PFKdBzhoHqLB8UtNShaA,PREP,2018-05-04,https://i.scdn.co/image/ab67616d0000b273f9d10a4917326433635376ba,Cold Fire
00PsineKfAuLIl2PGnK5LB,Orla Gartland,2020-01-15,https://i.scdn.co/image/ab67616d0000b2738b557c1731ad8120e47e5ab8,Heavy
00QhioPN9frbBoaG7m2mut,Gene Clark,,https://i.scdn.co/image/ab67616d0000b2732a60292d92759ae7548a6297,White Light
00XDw5ltEBMiNuwRaFEc3o,Kehlani,2018-02-09,https://i.scdn.co/image/ab67616d0000b27318f2f90efbfb432470a6d35d,Again
00ZKth0dl5axbKIriIQLkR,Meat Puppets,,https://i.scdn.co/image/ab67616d0000b2736fe1197aff029950ee2209ea,II
00ZeIulbkVv0uTvWmlsDBO,Ho3ein,2019-06-20,https://i.scdn.co/image/ab67616d0000b273fd0020996260eb8348df5ab1,Didgah
00ZmLKljHmPHYtB3nJtDFX,Mama Aiuto,2022-07-15,https://i.scdn.co/image/ab67616d0000b2731bce4d68b1063ccae590bd66,Green Memory Grass
00aKk5RWR3WvFqgxx7FWbi,Carl Craig,1996-03-25,https://i.scdn.co/image/ab67616d0000b273df0876ef91e1badef94f5592,DJ-Kicks (Carl Craig)
00bAjAIqUpoyE1TpJPjz14,Roedelius,,https://i.scdn.co/image/ab67616d0000b273432b7870b0de4977c3e1e0cd,Wenn der Südwind weht
00biPgUkS0M5xwNMoGXKxm,I Hate Models,2017-04-07,https://i.scdn.co/image/ab67616d0000b27352262ace088ce70ecdab08e3,Nigredo Edition
00btWJDLFEzJHq7EwuBQbM,Balu Brigada,2022-09-23,https://i.scdn.co/image/ab67616d0000b273c4e1a512108d8b3b2b26e595,I Should Be Home
00cZAqb57SRmKrcpFYWuye,Jill Scott,2015-08-28,https://i.scdn.co/image/ab67616d0000b273129b0b05e5bd76c5f2f99575,Golden Moments
00caEtdeZC0QK2FP98fTGA,Frédéric Metthé,2008-03-01,https://i.scdn.co/image/ab67616d0000b2738901fe311948283732fa7669,44 Octobre
00csHsSrBjmgpC0hKohn5m,Milroy’s of Soho,2017-08-17,https://i.scdn.co/image/ab67616d0000b2733ef09fd89ecbab63904a58aa,Colebrooke Row
00d6wTUJHGsrxPmbETXGWm,Dmitri Shostakovich,2017-11-17,https://i.scdn.co/image/ab67616d0000b273ed94461b8e8346614de71d95,"Shostakovich: Symphony No. 5 in D Minor, Op. 47 (Remastered)"
00dUezlxTHmpfW165QLbEW,Richie Hawtin,2022-04-01,https://i.scdn.co/image/ab67616d0000b27359bbcffd56cb4e04e52f56a3,Consumed In Key
00eiw4KOJZ7eC3NBEpmH4C,Guns N' Roses,1991-09-18,https://i.scdn.co/image/ab67616d0000b27392d21aef6c0d288cc4c05973,Use Your Illusion II
00frTINxcrVQHIRtT1Ml0x,The Rocketman,2021-01-29,https://i.scdn.co/image/ab67616d0000b27359fbc41cc3c5395499705fe6,"Exploration, Vol. 1 (Mixed)"
00g2AfSItbeFlzMROqQwSt,B0nds,2018-03-26,https://i.scdn.co/image/ab67616d0000b273e571051707f83f2d29f3a3b7,High Noon
00gL2Gu8zFTvgvmRvq4Ka7,Scary Pockets,2021-07-26,https://i.scdn.co/image/ab67616d0000b273c754840df71b2e5e2dba1c8a,We Can Work it Out
00hH0jAVPtgkN2eDO6NMQy,Various Artists,2016-10-21,https://i.scdn.co/image/ab67616d0000b2735b80fc2b77eb374dbc8a48b0,The Rocky Horror Picture Show: Let's Do the Time Warp Again
00hVMpFWegdBKaNDAP55Bd,Shontelle,,https://i.scdn.co/image/ab67616d0000b2739d3a02bd11c5366683517d32,No Gravity
