audiobook_id,publisher,audiobook_title,audiobook_artwork,audiobook_image,authors
00NlcJRrGEkenK8f6rELyq,Stephen Fry,Odyssey,,https://i.scdn.co/image/ab676663000022a85290dd6c6bd3aefec79506ad,['Stephen Fry']
07srTU47uxFE3gvGqAFSc5,Terry Pratchett,Reaper Man: (Discworld Novel 11),,https://i.scdn.co/image/ab676663000022a886d5417628d83d7f8a2c0720,['Terry Pratchett']
0HlbimZYy6KewNhUKRMNEX,Terry Pratchett,Men At Arms: (Discworld Novel 15),,https://i.scdn.co/image/ab676663000022a8dda0166399cc503121a6af46,['Terry Pratchett']
0ac5EVc42XyYaIQIfc2pXL,Mattel,Fireman Sam - A Magic Rescue,,https://i.scdn.co/image/ab676663000022a8844dbd2c777e2fe1846e2b79,['Mattel']
0jxdq4qCA7q6o86PLPNPBA,Mattel,Fireman Sam - A Great Rescue Dog,,https://i.scdn.co/image/ab676663000022a8e327382936409b7fb9670c9a,['Mattel']
0vL8tq02UqTY1ApnhG2kzK,Mattel,Fireman Sam - A Fiery Concert,,https://i.scdn.co/image/ab676663000022a8d8986d40462a7d63929ff0d2,['Mattel']
13y7enEVlzeLAScftJjMb0,Roald Dahl,The BFG,,https://i.scdn.co/image/ab676663000022a85ac808f4bbafc0ef95e1e648,['Roald Dahl']
1JbmjVkkCSSNRwnRdlrfkI,Stephen Fry,Troy: Our Greatest Story Retold,,https://i.scdn.co/image/ab676663000022a8845d610453ffd05deb401f93,['Stephen Fry']
1cWZimTEQi7cA2teEhkjMx,Mattel,Fireman Sam - Saving a Horse,,https://i.scdn.co/image/ab676663000022a8df50f52f4cc4d8611631abd5,['Mattel']
1ojmF3WbW6m2ntjE4gDFM4,Enid Blyton,The Secret Island: Book 1,,https://i.scdn.co/image/ab676663000022a8e9d958561027153c736550f1,['Enid Blyton']
1t2BqlrVt9W207SiWxNIeH,Roald Dahl,Danny the Champion of the World,,https://i.scdn.co/image/ab676663000022a8811edf9898fb537f0f1d3aa6,['Roald Dahl']
22ssNVceJEloArFaNMMA1k,Bill Bryson,A Short History of Nearly Everything,,https://i.scdn.co/image/ab676663000022a81f562e1fbfa1a3064d6de201,['Bill Bryson']
240aw4c7Z4QwXQtkdsKGUO,"Tom Holland, Nassim Nicholas Taleb",Dominion: The Making of the Western Mind,,https://i.scdn.co/image/ab676663000022a8523097f906d64a7792acba9f,"['Tom Holland', 'Nassim Nicholas Taleb']"
2B0qNhJHdKMn09KgtTmgVQ,Stephen Fry,Heroes: The myths of the Ancient Greek heroes retold,,https://i.scdn.co/image/ab676663000022a83ebb7f12119fda63f68f2eba,['Stephen Fry']
2STDvTDi2CzcPdzTymxVsx,Stephen Fry,Mythos: The Greek Myths Retold,,https://i.scdn.co/image/ab676663000022a8a5b76a33c5d6f5813d1bca4f,['Stephen Fry']
2WbzV1xR3Gah1VhdzQjHPW,J.R.R. Tolkien,"The Fellowship of the Ring: Discover Middle-earth in the Bestselling Classic Fantasy Novels read by the voice of Gollum (The Lord of the Rings, Book 1)",,https://i.scdn.co/image/ab676663000022a83045b32a8e4c099d6801562f,['J.R.R. Tolkien']
2XFWTzXs1WhBSmvKjkQdT9,Douglas Adams,The Hitchhiker's Guide to the Galaxy: The 42nd Anniversary Edition of Douglas Adams's International Bestseller,,https://i.scdn.co/image/ab676663000022a8a5c57e529422841204860c8a,['Douglas Adams']
3P4NRvzTh1gv9t6yZwPMm0,Roald Dahl,Charlie and the Chocolate Factory,,https://i.scdn.co/image/ab676663000022a818a92fe07c7c76a3195e3094,['Roald Dahl']
4QW8nPCMe15EoKMqdSur9q,Edward Forsyth,"Bodega: Tales from the Bodegaverse: Contains all the episodes of Bodega previously transmitted via the Triforce Podcast, and heaps more Bodega action besides.",,https://i.scdn.co/image/ab676663000022a8e27d09f1c8657f628847222c,['Edward Forsyth']
4VKvwf9B0xTtri43uNJh9k,Eckhart Tolle,The Power of Now,,https://i.scdn.co/image/ab676663000022a89d7558f07541236ff4c06af9,['Eckhart Tolle']
4ed0ke1eXnyR5uPcVBpLRu,Anthony Bourdain,Kitchen Confidential: 25th Anniversary Edition,,https://i.scdn.co/image/ab676663000022a806dc5e6052889e7bdd4f039b,['Anthony Bourdain']
4ouHNePEb0pz9A18jdrASn,Enid Blyton,The Magic Faraway Tree: Book 2,,https://i.scdn.co/image/ab676663000022a812ba324cf90edb53f76bb152,['Enid Blyton']
5Welq2uLsi00V512TY6sTm,Andy Shepherd,The Boy Who Grew Dragons (The Boy Who Grew Dragons 1),,https://i.scdn.co/image/ab676663000022a8b4903d5998354afdb31cb34e,['Andy Shepherd']
5XKnqgaE4Wow4Rmrzu5UHN,Gillian Anderson,Want: Sexual Fantasies by Anonymous,,https://i.scdn.co/image/ab676663000022a8f676a8425444864e882999f9,['Gillian Anderson']
5oUaXz0wghYBvm7egoOgcm,"Matt Oldfield Ltd, Ultimate Football Heroes",Ultimate Football Heroes: Ronaldo (Wing Wizards 1): Collect them all!,,https://i.scdn.co/image/ab676663000022a82f53004dc891efae7a1aa95e,"['Matt Oldfield Ltd', 'Ultimate Football Heroes']"
5zv24ErpU3fmPU1SVuCmHC,Douglas Adams,The Restaurant at the End of the Universe,,https://i.scdn.co/image/ab676663000022a8bbd203a3491055e7d469ca4a,['Douglas Adams']
