date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl
01-01-2019,Kim Jong-un's new year message warns of 'new path' if sanctions stay,North Korean leader says he hopes to continue denuclearisation talks but accuses US of breaking promises,https://www.theguardian.com/world/2019/jan/01/kim-jong-uns-new-year-message-warns-of-new-path-if-sanctions-stay,https://media.guim.co.uk/2cdd1bc6d2b25fea32f000dfc790b6c428f37a21/0_53_3768_2261/500.jpg
02-01-2019,'All necessary means': Xi Jinping reserves right to use force against Taiwan,Chinese leader calls for reunification and says independence would be a ‘disaster’,https://www.theguardian.com/world/2019/jan/02/all-necessary-means-xi-jinping-reserves-right-to-use-force-against-taiwan,https://media.guim.co.uk/ffa0bcdf28e1b4b2320897ab8580f8857296563b/0_28_3500_2101/500.jpg
03-01-2019,Tensions bubble up after Hong Kong's 'Food God' pours scorn on hotpot,Famous restaurant critic in hot water after saying the beloved dish ‘totally lacks cultural significance’ and isn’t delicious,https://www.theguardian.com/world/2019/jan/03/tensions-bubble-up-after-chinas-food-god-pours-scorn-on-hotpot-dishes,https://media.guim.co.uk/2eb8ceca3fc25d2c0dae79e73c14186a8fd48b02/6_39_1762_1057/500.png
04-01-2019,America's first public earthquake-warning app gives seconds to prepare,Experts hope ShakeAlertLA will encourage other west coast cities to make similar investments,https://www.theguardian.com/world/2019/jan/03/earthquake-early-warning-app-los-angeles-shakealertla,https://media.guim.co.uk/e5b69de7b7e08702c88b58a2d803e7d8fe4566cf/0_35_1869_1121/500.jpg
05-01-2019,'The US can't dump people in Mexico': Trump asylum policy in doubt,Head of immigration authority says Mexico has ‘asked for answers’ on ‘catch and return’ – but shutdown isn’t helping,https://www.theguardian.com/world/2019/jan/05/mexico-us-immigration-policy-overhaul,https://media.guim.co.uk/f4b841bf23c23533d59a60fe9e528a17f6538d87/0_3_2334_1400/500.jpg
06-01-2019,Venezuela crisis takes deadly toll on buckling health system,"With hospitals lacking even soap, a ‘perfect storm’ of poor hygiene, malnourished patients and shortage of drugs has left families grieving and experts fearing a total collapse",https://www.theguardian.com/world/2019/jan/06/venezuela-health-system-crisis-nicolas-maduro,https://media.guim.co.uk/f3d9b756418d53b1b01edf43aacc06a8ca44eac8/0_2_4000_2401/500.jpg
07-01-2019,"Mungau Dain, Tanna star and 'Vanuatu’s Brad Pitt', dies after untreated leg infection","First-time actor, who starred in Oscar-nominated Australian-Vanuatu film, remembered as a ‘gentle soul’ and ‘deep family man’",https://www.theguardian.com/world/2019/jan/07/mungau-dain-tanna-star-and-vanuatus-brad-pitt-dies-after-untreated-leg-infection,https://media.guim.co.uk/40a4995ad0e88539e5229f0707853a1852c40e3a/0_613_2477_1486/500.jpg
08-01-2019,Snoozing on the job: Japanese firms tackle epidemic of sleeplessness,Companies offer napping at work as lack of proper rest is estimated to cost economy $138bn a year,https://www.theguardian.com/world/2019/jan/08/snoozing-on-the-job-japanese-firms-tackle-epidemic-of-sleeplessness,https://media.guim.co.uk/616e243665f31a2f982cf805693099ad1ca7a4de/38_35_590_354/500.jpg
09-01-2019,Oxfam condemns EU over 'inhumane' Lesbos refugee camp,"Violence so bad that women wear nappies at night to avoid leaving tents, report says",https://www.theguardian.com/world/2019/jan/09/oxfam-criticises-eu-inhumane-lesbos-refugee-camp-moria,https://media.guim.co.uk/bdbc7f86edd730f2a6e7a4c4b0355b75ae0744d4/0_48_9000_5400/500.jpg
10-01-2019,World’s steepest street: Welsh town challenges New Zealand for Guinness World Record,Some residents of Baldwin Street in Dunedin suggest resurfacing top of street to see off challenge from Harlech in Wales,https://www.theguardian.com/world/2019/jan/10/worlds-steepest-street-welsh-town-challenges-new-zealand-for-guinness-world-record,https://media.guim.co.uk/3bb2137eb3032aeab4ca85d1c217bb7f3f4987cd/0_0_4368_2621/500.jpg
11-01-2019,Ikea in New Zealand: build-up falls flat with news of a shop in a few years' time,Swedish furniture company’s long-awaited announcement revealed ... a long wait for a store,https://www.theguardian.com/world/2019/jan/11/ikea-new-zealand-build-up-falls-flat-with-news-of-a-shop-in-a-few-years-time,https://media.guim.co.uk/aa0747b2a1e35717a9fecefabc3336b3ada34010/0_12_4300_2580/500.jpg
12-01-2019,On a wing and a player: hopes webcam can save endangered albatross,Footage of tiny colony of birds on the southern tip of New Zealand captivates millions around the globe,https://www.theguardian.com/world/2019/jan/12/on-a-wing-and-a-player-hopes-webcam-can-save-endangered-albatross,https://media.guim.co.uk/3ca734e000affad6761ee250a68a7e57c45571a5/0_0_1200_720/500.jpg
13-01-2019,Kings of cocaine: how the Albanian mafia seized control of the UK drugs trade,"‘They’re sophisticated, clever – and they always deliver’: from the ports of Europe to the streets of London, one criminal network is now at the top of the UK’s £5bn trade",https://www.theguardian.com/world/2019/jan/13/kings-of-cocaine-albanian-mafia-uk-drugs-crime,https://media.guim.co.uk/0f5c1ee38d929899fd201012199ae5e130aa6566/0_141_4992_2995/500.jpg
14-01-2019,White House asked the Pentagon for plans to strike Iran – report,The ‘mind-boggling’ request came after two incidents in Iraq last September when militia mortar and rockets exploded near US diplomatic facilities,https://www.theguardian.com/world/2019/jan/13/white-house-asked-pentagon-plans-strike-iran,https://media.guim.co.uk/09491a3d3af47d68d6d50c8bba9c31323d7d4bac/0_348_5222_3133/500.jpg
15-01-2019,'A tragic moment': thousands gather across Poland to mourn Gdańsk mayor,Donald Tusk remembers friend Paweł Adamowicz as debate turns to rise of hate speech,https://www.theguardian.com/world/2019/jan/14/gdansk-residents-donate-blood-stabbed-mayor-pawel-adamowicz,https://media.guim.co.uk/a1cefe87107148cdb160e86596afe8e89be13f02/0_371_5568_3341/500.jpg
16-01-2019,"One in three Christians face persecution in Asia, report finds",Threat levels rise in China amid crackdown and India enters league table top 10 for first time<br>,https://www.theguardian.com/world/2019/jan/16/one-in-three-christians-face-persecution-in-asia-report-finds,https://media.guim.co.uk/a161d4f218e0179934af5a7a6fd6968d5371cecb/0_12_5070_3042/500.jpg
17-01-2019,'Time to start talking about consent': Thailand's nascent #MeToo moment,A web project that let people share stories of sexual assault is growing into an influential force for change,https://www.theguardian.com/world/2019/jan/17/time-to-start-talking-about-consent-thailands-nascent-metoo-moment,https://media.guim.co.uk/26ad4d6a2232cdfc1932c798cb06edc4304e3751/378_455_3236_1941/500.jpg
