genre,count
Rock,2132
Electronic,1867
Pop,1631
Hip Hop,992
lo-fi,842
lo-fi beats,830
jazz,809
Classical,703
"Folk, World, & Country",651
Indie Rock,515
techno,468
Funk / Soul,465
jazz beats,403
Alternative Rock,393
lo-fi hip hop,392
idm,386
House,382
Stage & Screen,356
classical,353
Jazz,353
Pop Rock,332
Indie Pop,324
drum and bass,320
nu jazz,301
minimal techno,299
reggae,290
ambient,289
pop punk,280
acid techno,271
dub techno,263
jungle,242
breakbeat,236
metalcore,231
experimental,228
musicals,226
psychedelic rock,223
Experimental,223
dub,223
punk,219
Synth-pop,215
drone,214
jazz fusion,213
big band,199
jazz rap,197
celtic,195
jazz funk,192
Soundtrack,191
medieval,190
garage rock,189
folk,189
post-punk,187
roots reggae,184
neo-psychedelic,183
acid house,180
space rock,180
german pop,179
swing music,179
lo-fi house,177
dubstep,174
post-hardcore,167
Electro,167
hard bop,164
Downtempo,163
traditional folk,163
Ambient,162
Techno,161
Folk,161
Vocal,159
grime,159
tech house,153
ragtime,152
avant-garde,152
krautrock,150
uk garage,148
trip hop,147
ragga,146
opera,146
chamber music,146
trance,146
emo rap,145
cool jazz,141
neoclassical,140
melodic techno,140
choral,139
bluegrass,138
metal,138
rocksteady,137
psytrance,136
christmas,135
Trap,134
liquid funk,133
german indie,133
proto-punk,132
uk grime,130
bassline,130
bebop,130
hard techno,129
noise rock,128
Folk Rock,128
skate punk,127
house,127
ska,127
german hip hop,126
acid rock,125
Ballad,125
children's music,124
glitch,124
blues,124
free jazz,123
Soul,122
melodic house,122
progressive trance,122
indie folk,120
vocal jazz,120
americana,118
soundtrack,118
uk funky,118
post-rock,117
emo,116
baroque pop,116
Acoustic,115
Punk,111
chicago house,110
downtempo,110
new wave,109
surf rock,108
dark ambient,108
orchestra,107
french jazz,106
Dance-pop,106
Latin,105
Deep House,105
afro house,104
Contemporary,104
northern soul,104
Baroque,104
progressive rock,103
minimalism,102
acid jazz,102
Contemporary R&B,101
alt country,100
bossa nova,99
jazz house,98
hardcore,98
power pop,98
east coast hip hop,97
ska punk,97
industrial,97
classical piano,95
bass house,95
tropical house,94
horrorcore,94
singer-songwriter,93
edm,92
old school hip hop,92
classic soul,91
Non-Music,90
Score,90
footwork,89
slap house,89
britpop,88
deathcore,88
classic country,87
southern gothic,87
Romantic,87
deep house,87
shoegaze,87
dream pop,86
art rock,86
Modern,86
disco house,85
Pop Rap,85
nu disco,84
jangle pop,84
motown,84
hypertechno,84
doo-wop,83
schlager,83
Blues,83
hardcore punk,83
drill,83
uk drill,81
progressive house,80
space music,80
brazilian jazz,80
blues rock,80
classic blues,80
folk rock,78
country blues,78
midwest emo,78
neue deutsche welle,77
vaporwave,76
art pop,76
drumstep,75
melodic hardcore,75
country,75
math rock,74
Tech House,74
tekno,74
Funk,74
smooth jazz,74
Reggae,73
folk punk,73
bass music,73
classic rock,73
indie jazz,72
rap metal,72
underground hip hop,71
Psychedelic Rock,71
funky house,71
spoken word,70
rockabilly,70
soul jazz,70
eurodance,70
stoner rock,70
nu metal,69
lovers rock,69
lullaby,69
latin jazz,69
Disco,69
screamo,69
traditional country,68
afropop,68
retro soul,68
synthpop,68
boom bap,67
dancehall,66
soul,66
hardstyle,65
Europop,65
traditional music,65
electroclash,64
future house,64
gqom,64
sea shanties,63
Electro House,63
jazz blues,63
ebm,62
slowcore,62
big room,61
disco,61
chanson,60
alternative metal,60
chillwave,60
future bass,60
Country,59
djent,59
riddim,59
lounge,59
breakcore,58
Instrumental,58
Contemporary Jazz,58
Hard Rock,58
egg punk,57
adult standards,57
afrobeat,57
madchester,57
bedroom pop,57
big beat,57
newgrass,57
afroswing,56
gabber,56
amapiano,56
french house,56
italo dance,55
exotica,55
neo soul,55
afrobeats,55
hardcore techno,55
Children's,55
alternative r&b,54
cold wave,54
yacht rock,54
folk pop,54
Abstract,54
southern hip hop,54
stoner metal,53
g-house,53
indie,53
french pop,53
rock,53
honky tonk,53
anti-folk,52
sludge metal,52
hip hop,52
tribal house,52
cloud rap,51
stutter house,51
Soft Rock,51
schlagerparty,51
requiem,51
comedy,50
darkwave,50
happy hardcore,50
post-grunge,50
celtic rock,49
latin house,49
Holiday,48
Progressive House,48
frenchcore,48
afro soul,48
Leftfield,48
phonk,48
glam rock,48
electro swing,47
city pop,47
Lo-Fi,47
riot grrrl,47
RnB/Swing,47
anime,47
miami bass,47
new age,46
Garage Rock,46
outlaw country,46
gregorian chant,46
Brass & Military,46
synthwave,46
modern blues,46
Renaissance,46
experimental hip hop,45
hyperpop,45
melodic rap,45
indie rock,45
Opera,44
hard rock,43
Conscious,43
Heavy Metal,43
variété française,43
Trance,42
post-disco,42
italo disco,41
New Wave,40
Rock & Roll,40
hard house,39
Video Game Music,39
Noise,39
indie punk,39
doom metal,38
mpb,38
Pop Punk,38
japanese classical,38
polka,38
lo-fi indie,38
west coast hip hop,37
Dubstep,37
jam band,37
christian country,37
alternative dance,37
3 step,37
Alt-Pop,37
reggae rock,37
uk r&b,37
Breakbeat,36
queercore,36
drift phonk,36
Rhythm & Blues,36
drone metal,36
new rave,35
