weekdate,position,artist_name,track_name,weighting
2010-01-01,1,matt cardle,when we collide,50
2010-01-01,2,rihanna ft drake,what's my name,49
2010-01-01,3,black eyed peas,the time (dirty bit),48
2010-01-01,4,katy b ft ms dynamite,lights on,47
2010-01-01,5,ellie goulding,your song,46
2010-01-01,6,rihanna,only girl (in the world),45
2010-01-01,7,take that,the flood,44
2010-01-01,8,katy perry,firework,43
2010-01-01,9,willow,whip my hair,42
2010-01-01,10,far east movement/cataracs/dev,like a g6,41
2010-01-01,11,david guetta ft rihanna,who's that chick,40
2010-01-01,12,olly murs,thinking of me,39
2010-01-01,13,cee lo green,forget you,38
2010-01-01,14,michael jackson ft akon,hold my hand,37
2010-01-01,15,tinie tempah ft kelly rowland,invincible,36
2010-01-01,16,bruno mars,just the way you are (amazing),35
2010-01-01,17,pogues ft kirsty maccoll,fairytale of new york,34
2010-01-01,18,n-dubz,girls,33
2010-01-01,19,jls,love you more,32
2010-01-01,20,mcfly ft taio cruz,shine a light,31
2010-01-01,21,jessie j,do it like a dude,30
2010-01-01,22,x factor finalists 2010,heroes,29
2010-01-01,23,mike posner,cooler than me,28
2010-01-01,24,coldplay,christmas lights,27
2010-01-01,25,biffy clyro,many of horror,26
2010-01-01,26,cheryl cole,the flood,25
2010-01-01,27,alexis jordan,happiness,24
2010-01-01,28,nelly,just a dream,23
2010-01-01,29,wanted,lose my mind,22
2010-01-01,30,pink,raise your glass,21
2010-01-01,31,mariah carey,all i want for christmas is you,20
2010-01-01,32,nicole scherzinger,poison,19
2010-01-01,33,adele,make you feel my love,18
2010-01-01,34,usher,more,17
2010-01-01,35,tinie tempah ft eric turner,written in the stars,16
2010-01-01,36,ben & jamie hazelby/c de burgh,lonely sky,15
2010-01-01,37,eminem ft rihanna,love the way you lie,14
2010-01-01,38,cheryl cole,promise this,13
2010-01-01,39,taio cruz,dynamite,12
2010-01-01,40,will i am & nicki minaj,check it out,11
2010-01-01,41,trashmen,surfin' bird,10
2010-01-01,42,saturdays ft flo rida,higher,9
2010-01-01,43,alexa goddard,turn my swag on,8
2010-01-01,44,olly murs,please don't let me go,7
2010-01-01,45,duck sauce,barbra streisand,6
2010-01-01,46,flo rida,turn around (5 4 3 2 1),5
2010-01-01,47,tinchy stryder ft chipmunk,game over,4
2010-01-01,48,bob ft rivers cuomo,magic,3
2010-01-01,49,wizzard,i wish it could be christmas everyday,2
2010-01-01,50,slade,merry xmas everybody,1
2010-01-08,1,lady gaga,bad romance,50
2010-01-08,2,joe mcelderry,the climb,49
2010-01-08,3,black eyed peas,meet me halfway,48
2010-01-08,4,kesha,tik tok,47
2010-01-08,5,cheryl cole ft will i am,3 words,46
2010-01-08,6,3oh3 ft katy perry,starstrukk,45
2010-01-08,7,journey,don't stop believin',44
2010-01-08,8,rihanna,russian roulette,43
2010-01-08,9,robbie williams,you know me,42
2010-01-08,10,chipmunk ft talay riley,look for me,41
2010-01-08,11,cheryl cole,fight for this love,40
2010-01-08,12,alexandra burke ft flo rida,bad boys,39
2010-01-08,13,florence & the machine,you've got the love,38
2010-01-08,14,black eyed peas,i gotta feeling,37
2010-01-08,15,jls,everybody in love,36
2010-01-08,16,jason derulo,whatcha say,35
2010-01-08,17,saturdays,ego,34
2010-01-08,18,n-dubz ft mr hudson,playing with fire,33
2010-01-08,19,alexandra burke,broken heels,32
2010-01-08,20,jay-z ft alicia keys,empire state of mind,31
2010-01-08,21,timbaland/nelly furtado/soshy,morning after dark,30
2010-01-08,22,wiley & chew fu,take that,29
2010-01-08,23,michael buble,haven't met you yet,28
2010-01-08,24,pixie lott,cry me out,27
2010-01-08,25,alicia keys,doesn't mean anything,26
2010-01-08,26,jay sean ft lil wayne,down,25
2010-01-08,27,jay-z ft mr hudson,young forever,24
2010-01-08,28,leona lewis,happy,23
2010-01-08,29,miley cyrus,party in the usa,22
2010-01-08,30,kings of leon,sex on fire,21
2010-01-08,31,chuckie & lmfao,let the bass kick in miami girl,20
2010-01-08,32,lady gaga,poker face,19
2010-01-08,33,david guetta ft akon,sexy chick,18
2010-01-08,34,jls,beat again,17
2010-01-08,35,peter kay's animated all star,the official bbc children in need medley,16
2010-01-08,36,n-dubz,i need you,15
2010-01-08,37,chris brown ft lil wayne,i can transform ya,14
2010-01-08,38,taio cruz,break your heart,13
2010-01-08,39,snow patrol,chasing cars,12
2010-01-08,40,rage against the machine,killing in the name,11
2010-01-08,41,westlife,what about now,10
2010-01-08,42,50 cent ft ne-yo,baby by me,9
2010-01-08,43,chipmunk,oopsy daisy,8
2010-01-08,44,paolo nutini,pencil full of lead,7
2010-01-08,45,black eyed peas,boom boom pow,6
2010-01-08,46,whitney houston,million dollar bill,5
2010-01-08,47,britney spears,3,4
2010-01-08,48,lady gaga,paparazzi,3
2010-01-08,49,drake/kanye/lil wayne/eminem,forever,2
2010-01-08,50,pixie lott,boys & girls,1
2010-01-15,1,iyaz,replay,50
2010-01-15,2,sidney samson ft wizard sleeve,riverside (let's go),49
2010-01-15,3,3oh3 ft katy perry,starstrukk,48
2010-01-15,4,lady gaga,bad romance,47
2010-01-15,5,florence & the machine,you've got the love,46
2010-01-15,6,journey,don't stop believin',45
2010-01-15,7,chipmunk ft talay riley,look for me,44
2010-01-15,8,kesha,tik tok,43
2010-01-15,9,saturdays,ego,42
2010-01-15,10,black eyed peas,meet me halfway,41
2010-01-15,11,cheryl cole ft will i am,3 words,40
2010-01-15,12,alexandra burke,broken heels,39
2010-01-15,13,rihanna,russian roulette,38
2010-01-15,14,justin bieber,one time,37
2010-01-15,15,joe mcelderry,the climb,36
2010-01-15,16,n-dubz ft mr hudson,playing with fire,35
2010-01-15,17,timbaland/nelly furtado/soshy,morning after dark,34
2010-01-15,18,jay-z ft alicia keys,empire state of mind,33
2010-01-15,19,jay-z ft mr hudson,young forever,32
2010-01-15,20,wiley & chew fu,take that,31
2010-01-15,21,jason derulo,whatcha say,30
2010-01-15,22,black eyed peas,i gotta feeling,29
2010-01-15,23,florence & the machine,redog days are over,28
2010-01-15,24,alicia keys,doesn't mean anything,27
2010-01-15,25,robbie williams,you know me,26
2010-01-15,26,cheryl cole,fight for this love,25
2010-01-15,27,alexandra burke ft flo rida,bad boys,24
2010-01-15,28,la roux,in for the kill,23
2010-01-15,29,pixie lott,cry me out,22
2010-01-15,30,jls,everybody in love,21
2010-01-15,31,chuckie & lmfao,let the bass kick in miami girl,20
2010-01-15,32,lostprophets,where we belong,19
2010-01-15,33,michael buble,haven't met you yet,18
2010-01-15,34,jay sean ft lil wayne,down,17
2010-01-15,35,alicia keys,empire state of mind (part ii),16
2010-01-15,36,paolo nutini,pencil full of lead,15
2010-01-15,37,miley cyrus,party in the usa,14
2010-01-15,38,kings of leon,sex on fire,13
2010-01-15,39,lady gaga,poker face,12
2010-01-15,40,30 seconds to mars,kings and queens,11
2010-01-15,41,temper trap,sweet disposition,10
2010-01-15,42,drake/kanye/lil wayne/eminem,forever,9
2010-01-15,43,leona lewis,happy,8
2010-01-15,44,placebo,rerunning up that hill,7
2010-01-15,45,david guetta ft akon,sexy chick,6
2010-01-15,46,chris brown ft lil wayne,i can transform ya,5
2010-01-15,47,n-dubz,i need you,4
2010-01-15,48,chipmunk,oopsy daisy,3
2010-01-15,49,50 cent ft ne-yo,baby by me,2
2010-01-15,50,owl city,fireflies,1
2010-01-22,1,iyaz,replay,50
2010-01-22,2,owl city,fireflies,49
2010-01-22,3,sidney samson ft wizard sleeve,riverside (let's go),48
2010-01-22,4,3oh3 ft katy perry,starstrukk,47
2010-01-22,5,glee cast,don't stop believin',46
2010-01-22,6,journey,don't stop believin',45
2010-01-22,7,lady gaga,bad romance,44
2010-01-22,8,florence & the machine,you've got the love,43
2010-01-22,9,plan b,stay too long,42
2010-01-22,10,alexandra burke,broken heels,41
2010-01-22,11,justin bieber,one time,40
2010-01-22,12,kesha,tik tok,39
2010-01-22,13,jay-z ft mr hudson,young forever,38
2010-01-22,14,saturdays,ego,37
2010-01-22,15,n-dubz ft mr hudson,playing with fire,36
2010-01-22,16,chipmunk ft talay riley,look for me,35
2010-01-22,17,black eyed peas,meet me halfway,34
2010-01-22,18,cheryl cole ft will i am,3 words,33
2010-01-22,19,rihanna,russian roulette,32
2010-01-22,20,jay-z ft alicia keys,empire state of mind,31
2010-01-22,21,timbaland/nelly furtado/soshy,morning after dark,30
2010-01-22,22,jason derulo,whatcha say,29
2010-01-22,23,alicia keys,empire state of mind (part ii),28
2010-01-22,24,florence & the machine,dog days are over,27
2010-01-22,25,joe mcelderry,the climb,26
2010-01-22,26,wiley & chew fu,take that,25
2010-01-22,27,alicia keys,doesn't mean anything,24
2010-01-22,28,black eyed peas,i gotta feeling,23
2010-01-22,29,pixie lott,cry me out,22
2010-01-22,30,onerepublic,all the right moves,21
2010-01-22,31,robbie williams,you know me,20
2010-01-22,32,jls,one shot,19
2010-01-22,33,cheryl cole,fight for this love,18
2010-01-22,34,alexandra burke ft flo rida,bad boys,17
2010-01-22,35,chuckie & lmfao,let the bass kick in miami girl,16
2010-01-22,36,30 seconds to mars,kings and queens,15
2010-01-22,37,jay sean ft lil wayne,down,14
2010-01-22,38,biffy clyro,many of horror,13
2010-01-22,39,vampire weekend,cousins,12
2010-01-22,40,michael buble,haven't met you yet,11
2010-01-22,41,la roux,in for the kill,10
2010-01-22,42,drake/kanye/lil wayne/eminem,forever,9
2010-01-22,43,glee cast,take a bow,8
2010-01-22,44,lostprophets,where we belong,7
2010-01-22,45,paolo nutini,pencil full of lead,6
2010-01-22,46,miley cyrus,party in the usa,5
2010-01-22,47,jls,everybody in love,4
2010-01-22,48,lady gaga,telephone,3
2010-01-22,49,glee cast,gold digger,2
2010-01-22,50,temper trap,sweet disposition,1
2010-01-29,1,owl city,fireflies,50
2010-01-29,2,iyaz,replay,49
2010-01-29,3,glee cast,don't stop believin',48
2010-01-29,4,3oh3 ft katy perry,starstrukk,47
2010-01-29,5,sidney samson ft wizard sleeve,riverside (let's go),46
2010-01-29,6,example,won't go quietly,45
2010-01-29,7,journey,don't stop believin',44
2010-01-29,8,alexandra burke,broken heels,43
2010-01-29,9,lady gaga,bad romance,42
2010-01-29,10,jls,one shot,41
2010-01-29,11,saturdays,ego,40
2010-01-29,12,justin bieber,one time,39
2010-01-29,13,jay-z ft mr hudson,young forever,38
2010-01-29,14,kesha,tik tok,37
2010-01-29,15,alicia keys,empire state of mind (part ii),36
2010-01-29,16,n-dubz ft mr hudson,playing with fire,35
2010-01-29,17,florence & the machine,you've got the love,34
2010-01-29,18,plan b,stay too long,33
2010-01-29,19,girls can't catch,echo,32
2010-01-29,20,biffy clyro,many of horror,31
2010-01-29,21,jay-z ft alicia keys,empire state of mind,30
2010-01-29,22,chipmunk ft talay riley,look for me,29
2010-01-29,23,lil jon,do you remember,28
2010-01-29,24,black eyed peas,meet me halfway,27
2010-01-29,25,rihanna,russian roulette,26
2010-01-29,26,onerepublic,all the right moves,25
2010-01-29,27,pixie lott,cry me out,24
2010-01-29,28,timbaland/nelly furtado/soshy,morning after dark,23
2010-01-29,29,cheryl cole ft will i am,3 words,22
2010-01-29,30,jason derulo,whatcha say,21
2010-01-29,31,black eyed peas,i gotta feeling,20
2010-01-29,32,alicia keys,doesn't mean anything,19
2010-01-29,33,florence & the machine,dog days are over,18
2010-01-29,34,wiley & chew fu,take that,17
2010-01-29,35,alexandra burke ft flo rida,bad boys,16
2010-01-29,36,glee cast,take a bow,15
2010-01-29,37,cheryl cole,fight for this love,14
2010-01-29,38,joe mcelderry,the climb,13
2010-01-29,39,robbie williams,you know me,12
2010-01-29,40,pitbull ft akon,shut it down,11
2010-01-29,41,sub focus,could this be real,10
2010-01-29,42,rihanna ft young jeezy,hard,9
2010-01-29,43,30 seconds to mars,kings and queens,8
2010-01-29,44,glee cast,gold digger,7
2010-01-29,45,michael buble,haven't met you yet,6
2010-01-29,46,jay sean ft lil wayne,down,5
2010-01-29,47,lostprophets,where we belong,4
2010-01-29,48,fugative,supafly,3
2010-01-29,49,lady gaga,telephone,2
2010-01-29,50,drake/kanye/lil wayne/eminem,forever,1
2010-02-05,1,owl city,fireflies,50
2010-02-05,2,glee cast,don't stop believin',49
2010-02-05,3,iyaz,replay,48
2010-02-05,4,3oh3 ft katy perry,starstrukk,47
2010-02-05,5,sidney samson ft wizard sleeve,riverside (let's go),46
2010-02-05,6,jls,one shot,45
2010-02-05,7,alicia keys,empire state of mind (part ii),44
2010-02-05,8,journey,don't stop believin',43
2010-02-05,9,example,won't go quietly,42
2010-02-05,10,jay-z ft mr hudson,young forever,41
2010-02-05,11,alexandra burke,broken heels,40
2010-02-05,12,lady gaga,bad romance,39
2010-02-05,13,saturdays,ego,38
2010-02-05,14,n-dubz ft mr hudson,playing with fire,37
2010-02-05,15,jay sean/sean paul/lil jon,do you remember,36
2010-02-05,16,kesha,tik tok,35
2010-02-05,17,timbaland ft katy perry,if we ever meet again,34
2010-02-05,18,jay-z ft alicia keys,empire state of mind,33
2010-02-05,19,plan b,stay too long,32
2010-02-05,20,justin bieber,one time,31
2010-02-05,21,florence & the machine,you've got the love,30
2010-02-05,22,black eyed peas,meet me halfway,29
2010-02-05,23,alicia keys,doesn't mean anything,28
2010-02-05,24,rihanna,russian roulette,27
2010-02-05,25,biffy clyro,many of horror,26
2010-02-05,26,chipmunk ft talay riley,look for me,25
2010-02-05,27,pixie lott,cry me out,24
2010-02-05,28,rihanna,rude boy,23
2010-02-05,29,onerepublic,all the right moves,22
2010-02-05,30,timbaland/nelly furtado/soshy,morning after dark,21
2010-02-05,31,black eyed peas,i gotta feeling,20
2010-02-05,32,girls can't catch,echo,19
2010-02-05,33,pitbull ft akon,shut it down,18
2010-02-05,34,cheryl cole ft will i am,3 words,17
2010-02-05,35,jason derulo,whatcha say,16
2010-02-05,36,florence & the machine,dog days are over,15
2010-02-05,37,cheryl cole,fight for this love,14
