weekdate,position,artist,track
2010-01-01,1,MATT CARDLE,WHEN WE COLLIDE
2010-01-01,2,RIHANNA FT DRAKE,WHAT'S MY NAME
2010-01-01,3,BLACK EYED PEAS,THE TIME (DIRTY BIT)
2010-01-01,4,KATY B FT MS DYNAMITE,LIGHTS ON
2010-01-01,5,ELLIE GOULDING,YOUR SONG
2010-01-01,6,RIHANNA,ONLY GIRL (IN THE WORLD)
2010-01-01,7,TAKE THAT,THE FLOOD
2010-01-01,8,KATY PERRY,FIREWORK
2010-01-01,9,WILLOW,WHIP MY HAIR
2010-01-01,10,FAR EAST MOVEMENT/CATARACS/DEV,LIKE A G6
2010-01-01,11,DAVID GUETTA FT RIHANNA,WHO'S THAT CHICK
2010-01-01,12,OLLY MURS,THINKING OF ME
2010-01-01,13,CEE LO GREEN,FORGET YOU
2010-01-01,14,MICHAEL JACKSON FT AKON,HOLD MY HAND
2010-01-01,15,TINIE TEMPAH FT KELLY ROWLAND,INVINCIBLE
2010-01-01,16,BRUNO MARS,JUST THE WAY YOU ARE (AMAZING)
2010-01-01,17,POGUES FT KIRSTY MACCOLL,FAIRYTALE OF NEW YORK
2010-01-01,18,N-DUBZ,GIRLS
2010-01-01,19,JLS,LOVE YOU MORE
2010-01-01,20,MCFLY FT TAIO CRUZ,SHINE A LIGHT
2010-01-01,21,JESSIE J,DO IT LIKE A DUDE
2010-01-01,22,X FACTOR FINALISTS 2010,HEROES
2010-01-01,23,MIKE POSNER,COOLER THAN ME
2010-01-01,24,COLDPLAY,CHRISTMAS LIGHTS
2010-01-01,25,BIFFY CLYRO,MANY OF HORROR
2010-01-01,26,CHERYL COLE,THE FLOOD
2010-01-01,27,ALEXIS JORDAN,HAPPINESS
2010-01-01,28,NELLY,JUST A DREAM
2010-01-01,29,WANTED,LOSE MY MIND
2010-01-01,30,PINK,RAISE YOUR GLASS
2010-01-01,31,MARIAH CAREY,ALL I WANT FOR CHRISTMAS IS YOU
2010-01-01,32,NICOLE SCHERZINGER,POISON
2010-01-01,33,ADELE,MAKE YOU FEEL MY LOVE
2010-01-01,34,USHER,MORE
2010-01-01,35,TINIE TEMPAH FT ERIC TURNER,WRITTEN IN THE STARS
2010-01-01,36,BEN & JAMIE HAZELBY/C DE BURGH,LONELY SKY
2010-01-01,37,EMINEM FT RIHANNA,LOVE THE WAY YOU LIE
2010-01-01,38,CHERYL COLE,PROMISE THIS
2010-01-01,39,TAIO CRUZ,DYNAMITE
2010-01-01,40,WILL I AM & NICKI MINAJ,CHECK IT OUT
2010-01-01,41,TRASHMEN,SURFIN' BIRD
2010-01-01,42,SATURDAYS FT FLO RIDA,HIGHER
2010-01-01,43,ALEXA GODDARD,TURN MY SWAG ON
2010-01-01,44,OLLY MURS,PLEASE DON'T LET ME GO
2010-01-01,45,DUCK SAUCE,BARBRA STREISAND
2010-01-01,46,FLO RIDA,TURN AROUND (5 4 3 2 1)
2010-01-01,47,TINCHY STRYDER FT CHIPMUNK,GAME OVER
2010-01-01,48,BOB FT RIVERS CUOMO,MAGIC
2010-01-01,49,WIZZARD,I WISH IT COULD BE CHRISTMAS EVERYDAY
2010-01-01,50,SLADE,MERRY XMAS EVERYBODY
2010-01-08,1,LADY GAGA,BAD ROMANCE
2010-01-08,2,JOE MCELDERRY,THE CLIMB
2010-01-08,3,BLACK EYED PEAS,MEET ME HALFWAY
2010-01-08,4,KESHA,TIK TOK
2010-01-08,5,CHERYL COLE FT WILL I AM,3 WORDS
2010-01-08,6,3OH3 FT KATY PERRY,STARSTRUKK
2010-01-08,7,JOURNEY,DON'T STOP BELIEVIN'
2010-01-08,8,RIHANNA,RUSSIAN ROULETTE
2010-01-08,9,ROBBIE WILLIAMS,YOU KNOW ME
2010-01-08,10,CHIPMUNK FT TALAY RILEY,LOOK FOR ME
2010-01-08,11,CHERYL COLE,FIGHT FOR THIS LOVE
